Sequence;Speaker;Utterance;
57;M2:;...可是我上次見到她應該是零九年喔 .;
58;M1:;(0)um .;
59;M2:;...那時候她還蠻正常的 .;
60;M2:;...(2.5)沒想到後來就變那個樣子 .;
61;M1:;(0)um ,;
62;M1:;..他跟我講說 ,;
63;M1:;..他 ,;
64;M1:;...(1.1)把他丟 --;
65;M1:;..就是 ,;
66;M1:;..落跑來台灣 .;
67;M2:;...(1.7)是喔 .;
68;M2:;...(1.7)那怎麼辦 ?;
69;M1:;...(1.0)沒有啊 ,;
70;M1:;..就 ,;
71;M1:;..他司法警察也不能跑啊 .;
72;M1:;...總不能跑走 .;
;M1:;大概帶得回來台灣就回台灣啊 .;
73;M1:;...(1.7)比較慘的地方就是說 ,;
74;M1:;..小朋友那時候在美國生的啊 .;
75;M1:;...(1.0)拿美國護照 .;
76;M1:;..他回來台灣 ,;
77;M1:;..他在台-;
78;M1:;..美國護照又過期 .;
;M1:;他沒辦法辦台灣護照 .;
79;M2:;...(1.7)這很誇張耶 .;
;M2:;怎麼 --;
80;M1:;(0)他媽媽扣住他的美國護照不讓他動 .;
81;M1:;...就沒辦法<L2 renewL2>啊 .;
82;M1:;...(4.2)小孩子在父親手上 .;
83;M2:;...(3.4)還有這種事喔 .;
84;M1:;..um .;
;M1:;..那人反正既然在台灣不-;
85;M2:;也不能辦身分 ?;
86;M1:;..對 .;
87;M2:;..好奇怪喔 .;
;M2:;為什麼 ?;
88;M1:;(0)他還有一次逾期居留@ .;
89;M2:;...怎麼那麼詭異 .;
90;M1:;(0)不是呀 ,;
;M1:;了不起耶 .;
91;M2:;...(1.0)怎麼會搞成這樣 .;
92;M1:;...(4.1)然後他老婆好像把 ,;
;M1:;他們家 --;
93;M1:;..中間回去一趟澳門 ,;
;M1:;把家裡的黃金 ,;
94;M1:;...全部幫-;
95;M1:;..搬光 .;
96;M1:;...然後 ,;
97;M1:;...(2.5)然後最近靠 --;
98;M1:;..靠賣黃金過日子 .;
99;M2:;..@@@@@<@這真他媽的了不起喔@> .;
100;M1:;..tsk;
101;M2:;...因為那時候他加我 .;
;M2:;在<L2 Facebook L2>上加我 ,;
;M2:;X我想這個人是誰 ,;
;M2:;就等於是你XXX;
102;M2:;...結果點進去靠一看我想說 ,;
;M2:;他那個憂鬱症蠻嚴重的 .;
;M2:;他完全都在 ,;
103;M2:;..自問自答自言[自語] .;
104;M1:;                        [對呀] .;
105;M1:;..我就把他 --;
;M1:;我後來把他<L2 block L2>起來 .;
106;M2:;(0)對呀 ,;
;M2:;我也是 .;
107;M1:;(0)然後 ,;
108;M1:;..我還舉報他 .;
109;M1:;...我還很難過的 .;
110;M1:;..真的我舉報他 ,;
;M1:;之後我老婆跟我講說 ,;
;M1:;你幹嘛舉報他 .;
111;M1:;..他看不到了@@@ .;
112;M2:;...(1.4)你要看那個 ,;
;M2:;<@你就點進去他那邊就看得到啦@> .;
113;M1:;..um ?;
114;M2:;..你要點進去他的那一個<L2 area L2>還是看得見他寫的所有東西呀 .;
115;M1:;(0)是喔 .;
116;M1:;...我把他<L2 block L2> 起來還舉報他 .;
117;M2:;(0)<L2 block L2>起來他就不會出現在你那邊 .;
;M2:;可是 ,;
;M2:;你從朋友那裡面去搜尋 ,;
;M2:;他還在你的<L2 listL2>裡面 .;
118;M1:;..是喔 .;
119;M2:;(0)對 .;
;M2:;除非你把他解除 .;
;M2:;朋友關係 .;
120;M1:;(0)我好像把他<L2 delete L2>掉了 .;
121;M2:;(0)那你可能就沒了@@@@ .;
;M2:;因為呢 ，;
;M2:;我是把他<L2 block L2>住 ,;
;M2:;然后呢那我點進去還是看得到 .;
122;M2:;..那我看他其實 ,;
123;M2:;..看得出蠻嚴重的 .;
124;M2:;..他那個其實需要看醫[生] .;
125;M1:;                                   [他好像]現在 --;
126;M1:;..現在都是寫信給那個 ,;
127;M1:;..叫什麼名字 ,;
128;M1:;…徐XX.;
129;M2:;(0)@@他會每個人發啦 .;
130;M2:;..他沒有發給我 ,;
131;M2:;..因為他不知道我是誰 .;
132;M2:;..他只是把我加-;
;M2:;他可能看出我是 --;
133;M1:;..他可能 ,;
134;M1:;..[他可能] --;
135;M2:;  [這些]人的[[朋友]] .;
136;M1:;                  [[他可能]]會 --;
;M1:;會發到黃那邊去吧 .;
137;M1:;..不過黃應該不會理他 .;
138;M2:;..沒有啊完全沒任何反應啊 . ;Holly
139;M2:;...因為我也看一下X黃X的那個 --;
140;M2:;.. <L2 Facebook L2>他好像也都沒什麼他應該也是把他<L2 block L2>的動作 .;
141;M1:;(0)um .;
142;M1:;...(1.4)對呀 .;
143;M2:;(0)那我有進去看他寫那個我就覺得說 ,;
144;M2:;..他那個思緒整個都亂掉了 .;
145;M2:;..他那個其實真的[就是] --;
146;M1:;                           [有]嚴重被害妄想 .;
147;M2:;(0)他不管 .;
148;M2:;..他那個ho不管吃藥 .;
149;M2:;..跟心<L2 pro L2>看都要做 .;
150;M2:;...這是 --;
151;M2:;..這個是蠻麻煩的事但是最怕的就是他 --;
;;..我看他他好像不承認 .;
152;M1:;(0)對呀 .;
153;M2:;(0)我看到他有好他朋友 ,;
154;M2:;..在裡面寫說eh[他是不是變]了或者說他是不是生病了是不是需要去看醫生他也都沒回應 .;
155;M1:;                        [XXX] .;
156;M2:;...(1.8)他一定是自己簡單來說他有這樣的狀況 .;
157;M1:;..當然 ,;
158;M1:;..沒有幾個人覺得說自己有神經病 .;
159;M2:;..@@其實這是有預見就是<L2 depression L2>嘛 .;
160;M2:;..就看一看應該還好啊 .;
161;M2:;...(1.5)對不對 ?;
162;M1:;..也是啦 .;
163;M1:;..因為前幾天他才來找我吃飯 ,;
164;M1:;..小樓回來[台灣] --;
165;M2:;                 [蛤]那我覺得他 --;
166;M2:;..他這樣子他壓力應該很大耶 .;
167;M2:;..他有他離了嗎 ?;
168;M1:;..他說在<L2 file divorce L2>啊 .;
169;M2:;唉 .;
170;M1:;...(1.8)他說他從澳門<L2 file divorce L2> 在台灣<L2 file L2>保護令 .;
171;M1:;...(2.3)要分居的時間夠 --;
172;M1:;..夠久好像滿兩年他就 --;
173;M1:;...他就可以離婚了 .;
174;M2:;(0)很辛苦 .;
175;M1:;(0)所以他必須<L3 kin L3>住兩年 .;
176;M2:;(0)然後 ,;
177;M2:;...聽那個我上次聽我忘記誰講的女方家人認為說他們女兒沒有問[題] .;
178;M1:;                                                                                                    [對呀] .;
179;M2:;..是真的被 -- ;
180;M2:;..女 --;
;;..他老公家暴靠 .;
181;M2:;..<@那問題就不是這樣子嘛你任何 --;
182;M2:;..頭腦清楚的人@>看到他的言行[[就知道他有問題啊]] .;
183;M1:;...(5.3)[[<L2 so L2>小樓跟我講說]] ,;
;;..他只是幫個魚換個水因為有的時候不是那個水用用 --;
184;M1:;..用那個水管要用嘴巴吸嗎 .;
185;M1:;...就是把那個水吸出來吸出一個<L2 vacuum L2> .;
186;M1:;..就真空嘛然後再利用那個真空的原理把那個水倒出來 .;
187;M1:;...那他說 ,;
188;M1:;..他看到小樓那樣子說小樓吸毒 .;
;;..@@@@<@小樓就 --;
189;M1:;...最好魚缸那個是@>@@@ .;
190;M2:;...喔 .;
191;M2:;..我覺得他其實這樣他很可憐 .;
192;M2:;..如果ho他沒有 --;
193;M2:;...他其實可以強制就醫吧 .;
194;M1:;..靠XXX .;
195;M2:;...如果[他XXX] --;
196;M1:;[<L2 Hey look bro L2>] <L2 That's a fine line between L2> --;
;;"..強制就醫<L2 and L2> 家暴<L2 <@OK@>; L2>@ ?";
197;M2:;...所以要是我 ,;
198;M1:;..他強制就醫的話他<L2 parents L2>可以幫他強制就醫 .;
199;M1:;..我們不行 .;
200;M2:;(0)為[什麼] ?;
201;M1:;        [我們做]老公的不行 .;
202;M2:;..可以吧 ?;
203;M1:;..uh除非對我們造成 --;
204;M1:;..<@生活上的[損害]@> .;
205;M2:;                      [應該可以]呀他那個影響這麼大其實 --;
206;M2:;..我記得可以家屬 --;
207;M2:;..你只要打電話跟醫院講 ,;
208;M2:;..像是台大榮總或是北醫都可以 ,;
209;M2:;..他們會查 .;
210;M2:;..他就可以派人來 .;
211;M2:;..然後必要時你可以跟他講說你要警察一起來 .;
212;M2:;...然後<@就把他@> --;
213;M1:;[[把他綁起來]] .;
214;M2:;[[<@輕微的@>]] .;
215;M1:;..[[[@@@@@@]]];
216;M2:;..[[[輕 --;
217;M2:;..不要說我把他 ,;
218;M2:;..輕微的<@綁一下帶走@>]]] .;
219;M1:;   [[[@@@@@@@@@@@@@@]]];
220;M2:;他[[其實]]就這[[[樣]]] ,;
221;M1:;    [[用]] --;
;M1:;                      [[[用]]]膠帶捆起來@[@] .;
;M2:;                                                     [對]但是問題是重點是如果,;
;;他現在不知道他老婆在哪裡 . ;
222;M1:;..對呀 .;
223;M2:;..那就很麻煩 .;
224;M1:;(0)可是他跟我講說 ,;
225;M1:;...他老婆現在好像在搞一些 --;
226;M1:;..他們家的那個 --;
227;M1:;...這個給他 --;
228;M1:;..之前給他兒子的那一些黃金,;
;;大概加起來有半斤左右 .;
229;M1:;..八兩喔 .;
230;M1:;..<@八兩喔@>@@@@@ .;
231;M2:;..這真的是蠻扯的 .;
232;M1:;...然後到 --;
233;M1:;..賣到只剩下一副 .;
234;M2:;...(2.2)tsu .;
235;M1:;(0)然後說 --;
236;M1:;..這個 --;
237;M1:;...都 --;
238;M1:;..他到台北請人家吃飯都很闊氣的請<L2 W Hotel L2>喔 .;
239;M2:;..tsu他整個思緒跟 --;
240;M2:;... [shi] --;
241;M2:;...頭腦整個都亂了 .;
242;M1:;    [um] .;
243;M1:;(0)想說 --;
244;M1:;..你老婆在 --;
245;M1:;..高雄哪裡呀 ?;
246;M1:;..他說我不知道 .;
247;M1:;..好像都不跟他聯絡,;
;;然後就說他都傳一些很奇怪的簡訊給他還給我看 .;
248;M1:;..然後他就說看到就 --;
249;M1:;..真的就覺得很 --;
;;..很詭異 .;
250;M1:;..還<L2 actually L2>說我李昌钰啊幹嘛的跟他當好朋友呀 .;
251;M2:;(0)他就寫一些很[奇怪的東西呀] .;
252;M2:;..一看就知道是有點問題 .;
253;M2:;..不是很有點問題是有很大的問題的 .;
254;M1:;                          [@@@] .;
255;M1:;...(2.0)應該叫我老婆去看一下 ,;Minyi
256;M1:;..看看有沒有辦法<L2 link it to L2>這個 --;
257;M1:;..把他加起來當朋友X .;
258;M2:;(0)@@@我還有你要看他的東西我都看得到 .;
;;..@只是我把他<L2 block L2> -;
;;但是我只要點進去還是看得到我覺得很好笑 .;
259;M1:;(0)後來我好像是把他<L2 delete L2>掉 .;
260;M2:;(0) um .;
261;M1:;<L2 Maybe it’s why L2> .;
262;M1:;..因為我覺得-;
263;M1:;...這種人沒事的-;
264;M1:;..沒事在那邊寫一些怪裡怪氣的東[西] .;
265;M2:;                                                    [他]寫很多 ,;
266;M2:;..我就是自從 ,;
267;M2:;..把他加進來-;
;;(0)然後我就馬上把他<L2 block L2>住 ,;
;;..後來就不見了 .;
268;M1:;..XXX喔 .;
269;M2:;(0)但是其實你要看都還是看得到啦 ,;
;;..很好笑 .;
270;M2:;...(4.0)唉這個現代人的毛病也是很多耶 .;
271;M1:;..蛤那個尤其是 --;
272;M1:;..很嚴重啊 .;
;;..小樓也講說他也沒有說 .;
273;M1:;..他說覺得說如果說他覺得在家裡太無聊 .;
274;M1:;..他就去 --;
275;M1:;...去工作嘛 .;
276;M1:;...賺多賺少那是一回事啊 .;
277;M2:;..um .;
278;M1:;..然後去工作有點事情做 .;
279;M1:;...(2.2)那 --;
280;M1:;..他又不要 .;
281;M2:;...(1.9)那像 --;
282;M2:;..我想一下我最後我-;
283;M2:;..因為我跟他不熟 --;
;;是李跟嘉認識他 .;
284;M2:;..然後零九年那時候[我們剛好在去] --;
285;M1:;                               [在他在]內湖有一段時間了 .;
287;M1:;..因為我那時候剛進[[寶來的]]那時候 ,;
288;M2:;                               [[喔喔]] .;
289;M1:;..他 --;
290;M1:;...(1.7)那時候我寫<L2 Moodys L2>信評他寫 --;
291;M1:;..[[[他寫]]]中華信評 .;
292;M2:;...(3.5)[[[喔]]] .;
293;M1:;..所以信評這個部分我們算是有交[[[[集]]]] .;
294;M2:;                                                    [[[[那]]]]我在猜他後來應該就 --;
295;M2:;..零九年我碰到他的時候 --;
296;M2:;..他看起來應該已經有那樣的症狀-;
;;只是那時候不嚴重還是說因為 --;
297;M2:;..朋友來 --;
;;然後因為那一天他也沒講什麼話 .;
298;M1:;[喔] .;
299;M2:;[我們也感]受 --;
300;M2:;..[[我們也感覺不出來]] .;
301;M1:;[[大概-;
302;M1:;..大概就是]]趕快他媽的吃完跑了 ,;
303;M2:;..對那一天我們也感覺不出來他有什麼特殊的異樣說真的 .;
304;M1:;...(1.3)李知道嗎 ?;
305;M2:;(0)都知道阿 .;
306;M1:;...(0.9)李也有被他騷擾過嗎 ?;
307;M2:;...(0.7)好像有 .;
308;M1:;[@@@];
309;M2:;[但是呢] --;
310;M2:;..李應該也是把他打發掉而已 .;
311;M1:;...(1.8)那李那個比較厲害啦 .;
312;M2:;..應該就是把他打發掉 .;
313;M1:;..李應該就是 ,;
314;M1:;...(1.7)<L3 tseng siau e L3>啦 .;
315;M2:;(0)對呀 .;
316;M2:;..@ ;
317;M1:;...(2.3)eh他現在還-;
318;M1:;..他現在還在大展 .;
319;M2:;(0)um .;
320;M2:;..他掛執副我在猜他可能過兩年變總經理 .;
321;M1:;(0)總經理 .;
322;M2:;(0)@@;
323;M1:;..eh你不要看 .;
324;M1:;..那個莉從投信離開了之後現在是國泰-;
;;(0)國泰證的總經理ne .;
325;M2:;(0)對我有聽說 ,;
;;(0)那個國泰證想要 --;
326;M2:;..看看有沒有辦法做到-;
;;(0)可是 --;
327;M2:;..我覺得還是很小呀 .;
328;M2:;...他是不是才兩個店還三個[店] .;
329;M1:;                                          [他]-;
330;M1:;..他找白當總經理可能會大一點 .;
;;<@找莉當總經理<L3 na u kho liang L3>@> .;
331;M2:;...(1.8)然後莉[[也]]挖了幾個以前寶來的人過去 .;
332;M1:;                     [[不然]]-;
333;M1:;(0)不然就找那個 --;
334;M1:;...找那個 --;
335;M1:;..找黃老爹當總經理呀 .;
336;M1:;..<@那好一點好不好@> .;
337;M2:;..莉 ,;
338;M2:;..我覺得他只會做小事eh .;
339;M1:;..沒有啊我說 ,;
340;M1:;..他-;
341;M1:;..他在-;
;;(0)他在我們之前那個也就是穿著<L2 Prada L2>的惡魔啊 .;
342;M2:;(0)對呀 .;
343;M1:;(0)@@[@@XXX];
344;M2:;            [他都管一些無]聊的小事 .;
345;M1:;[[辦公桌放一邊]] .;
346;M2:;[[是蠻無聊的]] .;
347;M2:;..對沒什麼意思[[[啊]]] .;
348;M1:;                        [[[唉]]] .;
349;M2:;...(1.4)那陣子我剛好[在] ,;
350;M1:;                                [喔對]你那時候[[在內湖]] .;
351;M2:;                                                        [[我很討厭阿]]我覺得他很煩 .;
;;(0)他一開始先說什麼<L2 MSN L2>不能用 .;
352;M1:;...這個合理呀合理呀合理 .;
353;M2:;(0)然後大家就改用<L2 Skype L2> .;
;;(0)然後後來呢 ,;
354;M2:;..後來又說 --;
355;M2:;...你有申請他就可以開放-;
;;(0)反正我們就大家去申請 .;
;;(0)然後只是那陣子就比較少 .;
;;(0)然後又說 --;
356;M2:;...(.9)什麼辦公桌上面什麼東西要怎麼擺 .;
;;(0)然後我想說你-;
;;(0)頭腦有問題我根本不甩他 .;
357;M2:;...(.7)然後有一陣子還 ,;
358;M2:;...(.8)人資還跟我說什麼我-;
359;M2:;...(1.0)我西裝外套吊後面不行 .;
360;M2:;..我想說我吊在那邊關你屁事啊 ?;
;;(0)是怎樣 ?;
;;..我就[不甩他] .;
361;M1:;          [喔對]你是說吊在椅子-;
;;(0)掛在椅子上呀 .;
362;M2:;(0)不是椅子上 .;
;;(0)後面那個 ,;
363;M2:;..<L2 cubicle L2>那個 ,;
364;M2:;.. <L2 cubicle wall L2>上面 .;
365;M1:;(0)喔 .;
366;M1:;...為什麼不行 ?;
367;M2:;(0)我那邊有一根 --;
;;(0)那種有一個突出來 .;
;;(0)我就用[一個衣架掛] .;
368;M1:;                [對呀] .;
;;(0)對呀很多人都這樣啊 .;
369;M2:;(.8)他說什麼有礙風化-;
;;(0)我想說我管你的 ?;
;;(0)如果不高興就把我趕走呀 !;
;;..你把我<L2 fire L2>掉好了 !;
;;(0)還是你減我薪-;
;;(0)我就不甩他-;
;;(0)我就繼續掛-;
370;M2:;..然後他還會來檢查說什麼領帶 .;
371;M2:;...什麼顏色 .;
372;M2:;...(.7)他那個頭腦真得都壞掉了 .;
;;(0)反正我就不甩 .;
;;(0)一直在那邊X不甩不甩不甩不[[甩]] .;
373;M1:;                                              [[eh]]我們以前-;
374;M1:;..以前-;
375;M1:;...(.8)喔對了 ,;Sherry
;M1:;你不是坐裡面哪 .;
376;M1:;... (.9)南海特區 .;
;M1:;@@@@;
377;M2:;..一開始呢 ,;
;M2:;我有坐在裡面 ,;
;M2:;然後後來[因為] --;
378;M1:;              [那你]為什麼搬出來 ?;
379;M2:;..因為他們 --;
;M2:;劉被換進去 .;
380;M1:;(0)喔 ,;
381;M1:;...[對對對對對] .;
382;M2:;   [然後我就搬出來] ,;
;M2:;劉坐到我的位子上 .;
383;M1:;(0)對對對[[對對]] .;
384;M2:;               [[然後]]搬出來我想說也沒差 ,;
;M2:;因為 --;
385;M1:;(0)應該是坐在那個角落[那個] ,;
386;M2:;                                     [對] .;
387;M1:;(0)之前 ,;
;M1:;就是 ,;
388;M1:;...um ,;
389;M1:;...(.7)這個 ,;
;M1:;蔡秘書的後面的後面黃後[面]的位子 .;
390;M2:;                                        [對] .;
391;M2:;..然後呢後來呢劉搬進去 ,;
;M2:;那我就搬出來 ,;
;M2:;那在外面 ,;
;M2:;反正也不會常常遇到XXX或遇到什麼東西 ,;
;M2:;我在外面也很<L2 OK L2> .;
392;M2:;..可是有時候他就會有一些人在那邊晃來晃去 .;
;M2:;聽說啦 ,;
393;M2:;...之前 ,;
;M2:;莉還晃到裡面去 .;
394;M2:;..好幾次 .;
395;M1:;..um ,;
;M1:;[那最好 --;
;M1:;                  最好看到 --];
398;M2:;[XXXXXX西];
396;M1:;..最好看到白 ,;
397;M1:;..的那個衣服是掛在牆壁上 .;
399;M2:;(0)他當然不會講啊 ,;
;M2:;[[反正]]後來就大家就有在那邊 ,;
400;M2:;...抱怨連天 .;
;M2:;所以後來 ,;
;M2:;一陣子以後他就沒繼續弄了 .;
402;M1:;..對呀 .;
403;M2:;(0)他好像就玩了半年吧 .;
404;M1:;..我知道呀 .;
405;M2:;(0)感覺那個非常愚蠢 .;
406;M2:;..非常可笑 .;
407;M1:;..我知道 ,;
;M1:;後來好像 ,;
408;M1:;...(.8)好像 ,;
409;M1:;...白總把他 --;
410;M1:;...(1.0)扔去投信了吧 .;
411;M2:;...對啊 ,;
;M2:;掛個副董沒事幹吧 .;
412;M1:;..對阿副董事長在幹嘛 ?;
413;M2:;..不知道啊@@@@;
414;M1:;(0)不過我倒是很訝異國泰証會找他當總經理 .;
415;M2:;(0)因為國泰証搞不清楚 .;
416;M1:;(0)@@@;
417;M1:;...(1.0)我真得很訝異 .;
418;M2:;..那時候呀 ,;
419;M2:;..白總去唷 ,;
420;M1:;..他找誰當總經理都<L2 OK L2>呀 ,;
;M1:;不要找 --;
421;M1:;..找莉當 --;
422;M2:;..國泰我覺得國泰金控沒有想要花大錢吧 .;
;M2:;他們的證券本來就不做大 .;
;M1;對呀 .;
424;M2:;(0)他只是找個人去管理 .;
425;M1:;...(1.1)對呀 .;
426;M2:;...(1.0)那時候 ,;
;M2:;元大併寶來呀 ,;
;M2:;然後 ,;
427;M2:;...(1.2)因為後來莉做得那些奇怪的事情 ,;
428;M2:;..他在寶來裡面人緣很差 .;
429;M1:;..對 .;
430;M2:;(0)因為連仁都很討厭他 ,;
;M2:;然後一些其他高階主管 ,;
;M2:;洪什麼也都不喜歡他 .;
431;M1:;(0)洪很討厭他 ,;
;;[<@這都知道@>@] .;
432;M2:;[因為大家 -- ];
433;M2:;..大家都覺得他 ,;
434;M2:;...(2.0)在那邊 ,;
435;M1:;...啊 --;
436;M2:;(0)雞蛋裡挑骨頭 ,;
;M2:;玩一些沒有 --;
;M2:;對[投資沒有助益的事] .;
437;M1:;    [沒有意義的東西] .;
;M1:;沒有賺錢的東西阿 .;
438;M2:;..這 --;
439;M2:;..然後後來讓他想要 --;
440;M2:;..讓他離開寶來的原因就是因為後來 ,;
441;M2:;...(1.3)元大併了寶來後有一次 ,;
442;M2:;...他不是請所有的董監 ?;
443;M2:;...加上所有的 ,;
444;M2:;..應該說是一級主管 .;
445;M1:;(0)寶來董監嗎 ?;
446;M2:;...(1.5)tsk .;
;M2:;我[記得好像]是寶來總監 .;
447;M1:;   [XXXX];
448;M2:;..整個集團的啦 .;
;M2:;然後還有只要好像副總級[[以上的]]高階主管 ,;
450;M1:;                                        [[um]].;
449;M2:;..他幾乎全部都請 .;
451;M1:;...(1.3)莉 ?;
452;M2:;...那個元大經控嘛 .;
453;M1:;(0)喔對對對對對對對 ,;
;M1:;我知道 .;
455;M2:;   [在世貿的[XX] .;
454;M1:;               .. [這我知道] .;
;M1:;對對對這我知道 .;
456;M2:;(0)可是那一次呢 ,;
457;M2:;..他們就有 ,;
458;M2:;...(0.8)有漏掉幾個人 ,;
;M2:;我覺得是刻意漏掉 .;
459;M1:;..漏掉莉 ?;
460;M2:;..對 .;
461;M2:;..[然後] --;
462;M1:;  [對阿那天沒]看到他 .;
463;M2:;..莉呢 ,;
;M2:;就哭哭啼啼的跑去跟 ,;
464;M1:;...黃董<L3 哭夭 L3> ?;
465;M2:;...(0.7)跑去跟黃監察哭哭啼啼 ,;
;M2:;然後又跑去跟那個 ,;
466;M2:;..白太太 .;
;M2:;就那個 ,;
467;M2:;...魏董哭哭啼啼@ .;
;M2:;你知道 ,;
;M2:;那[兩個人] ,;
468;M1:;   [魏董] ,;
;M1:;魏董根本不管事[[阿]] .;
469;M2:;                         [[對呀]]<@那 --;
470;M2:;..那這兩位也只能兩手一攤[[[說]]] ,;
472;M1:;                                          [[[對啊]]] .;
471;M2:;..這這個[[[[不是我能決定的]]]]@> .;
473;M1:;...(0.6)  [[[[@@@@@]}]];
474;M2:;(0)@然後大家心裡就想說可見他人緣多差 ,;
;M2:;沒有人 --;
475;M2:;..因為元大那時候一定應該已經做過了一個<L2 pool L2> ,;
;M2:;一個普查 .;
476;M1:;(0)沒有我覺得那個是 ,;
477;M1:;..我高度懷疑是 ,;
478;M1:;...高階<@主管故意漏掉他@> .;
;M1:;沒道理勝去他沒去耶 .;
479;M1:;..eh老實講真得沒道理 .;
480;M2:;(0)沒有 ,;
;M2:;搞不好是有人一直在馬家前面講他壞話 ,;
;M2:;說這個人很糟 .;
481;M1:;(0)應 --;
482;M1:;..應該不至於 .;
483;M2:;(0)@<@這我就不清[楚了]@> .;
484;M1:;                                [應該不是] .;
485;M2:;..因為勝也很討厭他 ,;
;M2:;我知[[道]] .;
486;M1:;       [[我知道]]勝很討厭他 ,;
;M1:;因為他 ,;
487;M1:;..他 --;
488;M1:;..在劉 --;
489;M1:;..在投信那邊跟勝對鬥呀 ,;
490;M1:;..[[[鬥很兇]]] .;
491;M2:;  [[[那很無]]]聊啊 .;
;M2:;沒有意義嘛 .;
;M2:;唉 .;
492;M1:;(0)啊勝他會賺錢 .;
493;M2:;(0)對呀 .;
;M2:;勝做得還不錯啦 .;
;M2:;以專業經理人來講我覺得他做得不錯 .;
494;M1:;..他會賺錢啊 .;
495;M2:;(0)um .;
496;M2:;..所以<@我覺得很@@好笑@> .;
497;M2:;..然後後來好像沒多久 ,;
498;M2:;..那個<@吃完飯以後我就聽說他離開了@> .;
499;M1:;...喔對呀 .;
500;M1:;..那一 ,;
;M1:;喔那一頓飯 ,;
501;M1:;..就是剛 ,;
502;M1:;..<L2 announce merge L2>的時候 .;
503;M2:;(0)對 .;
504;M2:;...然後後來 ,;
;M2:;他可能就開始很積極 .;
;M2:;你也知道他也是很<L2 aggressive L2> ,;
;M2:;他應該就是出去業界到處找到處找然後就 ,;
;M2:;[跑]去那邊 .;
505;M1:;[um] .;
506;M1:;...um;
507;M1:;..開發金 ,;
508;M1:;...(1.4)也沒理他 .;
;M1:;他 --;
509;M2:;X;
510;M1:;...(1.2)那個林不是去開發金 ?;
511;M2:;(0)喔對林也不喜歡他嘛 .;
512;M1:;(0)喔對 ,;
513;M1:;..也是 .;
514;M1:;..他那個人緣太差了 .;
515;M2:;(0)對呀 ,;
;M2:;因為他那時候 ,;
;M2:;玩那些無聊的東西 ,;
516;M2:;..還管東管西的 ,;
