"id","doc","unitSeq","Speaker","TurnSeq","IUSeq","Utterance","docTokenSeqFirst","docTokenSeqLast"
"13E67C710CC14","NCCU-TM025-CN-FM_Ryan",41,"F:","17","40","(.) 也 都 不用 那 個 嗎 .",261,268
"6E282FAD21C8","NCCU-TM025-CN-FM_Ryan",42,"M:","18","41","(.) 沒有 [啊] .",269,272
"26D217BAC1537","NCCU-TM025-CN-FM_Ryan",43,"F:","19","42","[都] 沒有 現實 的 考量 嗎 .",273,279
"E9F4966ADBF6","NCCU-TM025-CN-FM_Ryan",44,"M:","20","43","(.) 偶爾 一定 都 會 有 這 種 人 啦 .",280,290
"1C7E07F20B179","NCCU-TM025-CN-FM_Ryan",45,"M:","20","44","(...) 可是 那 不 代表 ,",291,296
"104DFDA021C5D","NCCU-TM025-CN-FM_Ryan",46,"M:","20","45","(...) 大多數 的 人 .",297,301
"81EF372A8871","NCCU-TM025-CN-FM_Ryan",47,"M:","20","46","(...) 對 啊 .",302,305
"221771FC8F1E4","NCCU-TM025-CN-FM_Ryan",48,"F:","21","47","(...) 可是 應該 也 不 會 去 羨慕 才 對 啊 .",306,317
"36D0E8B71B05F","NCCU-TM025-CN-FM_Ryan",49,"M:","22","48","(...) 妳 看起來 很 羨慕 @@ .",318,324
"3588EE600017E","NCCU-TM025-CN-FM_Ryan",50,"F:","23","49","(...) 可是 那 --",325,328
"1BC43154238F6","NCCU-TM025-CN-FM_Ryan",51,"F:","23","50","(.) 我 覺得 實際 上 ,",329,334
"17CC2FACDB19E","NCCU-TM025-CN-FM_Ryan",52,"F:","23","51","(.) 應該 不 會 是 這樣 .",335,341
"2F081A053FA30","NCCU-TM025-CN-FM_Ryan",53,"M:","24","52","(.) 沒有 啊 ,",342,345
"A46A74CC050C","NCCU-TM025-CN-FM_Ryan",54,"M:","24","53","(.) 妳 自己 ,",346,349
"147AAF4947793","NCCU-TM025-CN-FM_Ryan",55,"M:","24","54","(.) 現在 沒辦法 那樣 ,",350,354
"1FBA82D2F44F","NCCU-TM025-CN-FM_Ryan",56,"M:","24","55","(.) 所以 妳 會 很 羨慕 .",355,361
"20059540D68C1","NCCU-TM025-CN-FM_Ryan",57,"F:","25","56","(.) 是 這樣 嗎 .",362,366
"14DCD00DD16DE","NCCU-TM025-CN-FM_Ryan",58,"M:","26","57","(.) 可是 妳 自己 是 那 樣子 的 時候 妳 就 覺得 沒有 什麼 .",367,381
"9B36F778F5F2","NCCU-TM025-CN-FM_Ryan",59,"F:","27","58","(...) mhm .",382,384
"22FC530B35875","NCCU-TM025-CN-FM_Ryan",60,"M:","28","59","(...) 譬如 說 什麼 ,",385,389
"1FE5C280C2043","NCCU-TM025-CN-FM_Ryan",61,"M:","28","60","(.) 我們 去 --",390,393
"2392887D83C6B","NCCU-TM025-CN-FM_Ryan",62,"M:","28","61","(.) 去 義大利 那 領隊 ,",394,399
"3120AD78F632B","NCCU-TM025-CN-FM_Ryan",63,"M:","28","62","(...) 去 義大利 已經 去 到 爛掉 了 .",400,408
"14D063A6766F4","NCCU-TM025-CN-FM_Ryan",64,"F:","29","63","(.) 對 啊 .",409,412
"4D40FA3E85B","NCCU-TM025-CN-FM_Ryan",65,"F:","29","64","(.) 什麼 地方 對 他 來說 [2都 覺得 一 樣2] .",413,423
"2283E695B2717","NCCU-TM025-CN-FM_Ryan",66,"M:","30","65","[2對 啊2] .",424,426
"347752A0AED4C","NCCU-TM025-CN-FM_Ryan",67,"M:","30","66","(...) 跑來跑去 那 --",427,430
"1482165971C20","NCCU-TM025-CN-FM_Ryan",68,"M:","30","67","(.) 對 他 來說 都 沒有 什麼 ,",431,438
"32C990326AA68","NCCU-TM025-CN-FM_Ryan",69,"M:","30","68","(.) 還 重遊 義大利 <L3 lei L3> .",439,446
"125F86D8A33AB","NCCU-TM025-CN-FM_Ryan",70,"F:","31","69","(.) @@@",447,448
"1488BAAF23561","NCCU-TM025-CN-FM_Ryan",71,"M:","32","70","(.) 他 可能 想到 都 已經 ,",449,455
"2580B44C61CC4","NCCU-TM025-CN-FM_Ryan",72,"M:","32","71","(.) 喔 .",456,458
"7AC2EB1D57AF","NCCU-TM025-CN-FM_Ryan",73,"M:","32","72","(.) 下次 來到 這裡 的 時候 然後 要 講 什麼 幹嘛 嗯嗯 .",459,471
"C19934B5BF46","NCCU-TM025-CN-FM_Ryan",74,"M:","32","73","(.) [稿子 都 背 得 一清二楚] .",472,478
"19CDD516683A1","NCCU-TM025-CN-FM_Ryan",75,"F:","33","74","[沒有 你 看 .",479,482
"5DEECD095CCF","NCCU-TM025-CN-FM_Ryan",76,"F:","33","75","(.) 對 他 來說] 那 是 他 的 工作 .",483,492
"2364E6B138C6E","NCCU-TM025-CN-FM_Ryan",77,"M:","34","76","(.) 對 啊 .",493,496
"2DAD5DB9429DB","NCCU-TM025-CN-FM_Ryan",78,"F:","35","77","(.) 然後 例行性 的 就是 ,",497,502
"4680780BEC68","NCCU-TM025-CN-FM_Ryan",79,"M:","36","78","(...) [2對 啊2] .",503,506
"247821C54A7F1","NCCU-TM025-CN-FM_Ryan",80,"F:","37","79","[2就是 這樣子2] .",507,509
"201E354E2B9D6","NCCU-TM025-CN-FM_Ryan",81,"F:","37","80","(...) 他 可能 今天 到 這裡 .",510,516
"2F4A0C138F85E","NCCU-TM025-CN-FM_Ryan",82,"F:","37","81","(...) 就 講 這樣 的 話 .",517,523
"125EC8A291E4F","NCCU-TM025-CN-FM_Ryan",83,"F:","37","82","(...) 到 這邊 ,",524,527
"1E86CE3774F4C","NCCU-TM025-CN-FM_Ryan",84,"F:","37","83","(.) 就 [換 這樣 介紹] .",528,533
"2E757281F06C9","NCCU-TM025-CN-FM_Ryan",85,"M:","38","84","[對 啊] .",534,536
"170E8A738A1FB","NCCU-TM025-CN-FM_Ryan",86,"F:","37","85","(.) 對 他 來說 沒有 特別 的 ,",537,544
"2C0662B743E86","NCCU-TM025-CN-FM_Ryan",87,"F:","37","86","(...) 那 個 ,",545,548
"2F91A5F44703F","NCCU-TM025-CN-FM_Ryan",88,"F:","39","87","(...) 可是 我們 (.) 去 的 時候 會 覺得 每 一 個 地方 都 好 驚[奇] .",549,565
"27220E0756DAB","NCCU-TM025-CN-FM_Ryan",89,"M:","40","89","[都] 很 驚奇 啊 .",566,570
"23B1746477EF1","NCCU-TM025-CN-FM_Ryan",90,"F:","41","90","(.) 然後 都 好好 那 個 喔 .",571,578
"2A93C16A9BBDE","NCCU-TM025-CN-FM_Ryan",91,"F:","41","91","(.) 好好 玩 喔 .",579,583
"2FA12BE34B087","NCCU-TM025-CN-FM_Ryan",92,"M:","42","92","(...) 你 看 所以 你 看 同樣 的 行為 ,",584,593
"1EE5F9356A9A9","NCCU-TM025-CN-FM_Ryan",93,"M:","42","93","(...) 就是 去 義大利 .",594,598
"21DCD7FC7AB29","NCCU-TM025-CN-FM_Ryan",94,"M:","42","94","(...) 去 義大利 .",599,602
"149B440D67FF9","NCCU-TM025-CN-FM_Ryan",95,"M:","42","95","(.) 然後 可是 對 ,",603,607
"366A41255BC6","NCCU-TM025-CN-FM_Ryan",96,"M:","42","96","(...) 我們 ,",608,610
"20B7588154358","NCCU-TM025-CN-FM_Ryan",97,"M:","42","97","(.) 對 他 ,",611,614
"1D33DB3D01023","NCCU-TM025-CN-FM_Ryan",98,"M:","42","98","(...) 不同 的 意義 .",615,619
"155F1ACE8C611","NCCU-TM025-CN-FM_Ryan",99,"F:","43","99","(.) 對 啊 .",620,623
"A2D44E5EAC20","NCCU-TM025-CN-FM_Ryan",100,"M:","44","100","(.) 然後 差 很 多 .",624,629
"1537805C30742","NCCU-TM025-CN-FM_Ryan",101,"F:","45","101","(...) 不過 出 --",630,633
"8AE55F9AF295","NCCU-TM025-CN-FM_Ryan",102,"F:","45","102","(.) 出去 總 是 增廣見聞 .",634,639
"1269FB455F290","NCCU-TM025-CN-FM_Ryan",103,"M:","46","103","(...) mhm .",640,642
"2C6D6586AB1C3","NCCU-TM025-CN-FM_Ryan",104,"F:","47","104","(.) 也 還 不錯 .",643,647
"28F43A9513D34","NCCU-TM025-CN-FM_Ryan",105,"M:","48","105","(.) mhm .",648,650
"38BDF0027965","NCCU-TM025-CN-FM_Ryan",106,"M:","48","106","(...) ei 那 時候 去 義大利 那 時候 ,",651,659
"18C20EA4A28A6","NCCU-TM025-CN-FM_Ryan",107,"M:","48","106","他 那 什麼 .",660,663
"9289D1DA98E6","NCCU-TM025-CN-FM_Ryan",108,"M:","48","107","(...) 領隊 那 叫 我們 要 防 ,",664,671
"1D0CA0F01A46F","NCCU-TM025-CN-FM_Ryan",109,"M:","48","107","那 個 ,",672,674
"360CD905EEC81","NCCU-TM025-CN-FM_Ryan",110,"M:","48","108","(...) 那 個 是 什麼 人 .",675,681
"C5253B5779E6","NCCU-TM025-CN-FM_Ryan",111,"M:","48","109","(...) 他們 叫 --",682,685
"162CBCEE06EEA","NCCU-TM025-CN-FM_Ryan",112,"M:","48","110","(.) 講 那些 黑人 是 什麼 人 .",686,693
"33C016223ABC7","NCCU-TM025-CN-FM_Ryan",113,"F:","49","111","(.) 吉普賽 .",694,696
"C8952D5D114A","NCCU-TM025-CN-FM_Ryan",114,"M:","50","112","(.) 啊 對 對 對 ,",697,702
"1D27F873ED5C8","NCCU-TM025-CN-FM_Ryan",115,"M:","50","113","[(...) 吉普賽] .",703,705
"13E1F28AA638D","NCCU-TM025-CN-FM_Ryan",116,"F:","51","114","[唉 呦 什麼人 還 不是 都 一樣] .",706,713
"136808B061186","NCCU-TM025-CN-FM_Ryan",117,"F:","51","115","(...) 我 那天 真的 做 那 個 夢 啊 ,",714,723
"2209FEB9D37AA","NCCU-TM025-CN-FM_Ryan",118,"F:","51","116","(.) 我 真的 覺得 超 好笑 的 .",724,731
"2410C64210C89","NCCU-TM025-CN-FM_Ryan",119,"F:","51","117","(.) 夢見 我們 全家 要 去 西班牙 .",732,739
"2AF8361343961","NCCU-TM025-CN-FM_Ryan",120,"F:","51","118","(...) 然後 呢 ,",740,743
"360F58EBBA171","NCCU-TM025-CN-FM_Ryan",121,"F:","51","119","(...) 十一 點 的 飛機 ,",744,749
"BFADDD2291F8","NCCU-TM025-CN-FM_Ryan",122,"F:","51","120","(.) 然後 八 點 的 時候 ,",750,756
"F4E92821B561","NCCU-TM025-CN-FM_Ryan",123,"F:","51","121","(...) 我 還 在 跟 我 妹 在 那 邊 爭 ,",757,768
"1411CBDAE7FA0","NCCU-TM025-CN-FM_Ryan",124,"F:","51","122","(.) 誰 要 哪 一 個 旅行箱 .",769,776
"181DE2EFF05FD","NCCU-TM025-CN-FM_Ryan",125,"F:","51","123","(...) 在 那邊 爭吵 不休 .",777,782
"1862593637331","NCCU-TM025-CN-FM_Ryan",126,"F:","51","124","(...) 然後 我 媽 居然 還 跟 我 說 ,",783,792
"2DE986CA2BB1F","NCCU-TM025-CN-FM_Ryan",127,"F:","51","124","你 快點 去 幫 Mi寶 綁 頭髮 .",793,800
"37EA24A7DCA7F","NCCU-TM025-CN-FM_Ryan",128,"M:","52","125","(...) 嗯 @ .",801,804
"3208F8CD9171C","NCCU-TM025-CN-FM_Ryan",129,"F:","53","126","(.) 然後 ,",805,807
"2B0C331C87500","NCCU-TM025-CN-FM_Ryan",130,"F:","53","126","爸爸 也 都 還沒 準備 好 .",808,814
"1DBAF645DEC4","NCCU-TM025-CN-FM_Ryan",131,"F:","53","127","(.) 然後 說 這樣 要 去 機場 .",815,822
"33590ED306AE1","NCCU-TM025-CN-FM_Ryan",132,"M:","54","128","(.) 爸爸 還 沒 準備 好 是 比較 不 可能 .",823,833
"16D858AFFCA96","NCCU-TM025-CN-FM_Ryan",133,"F:","55","129","(.) @@@=",834,835
"335D0AC0734C3","NCCU-TM025-CN-FM_Ryan",134,"F:","55","130","(.) [ei .",836,838
"138798CC4D8A9","NCCU-TM025-CN-FM_Ryan",135,"F:","55","131","(.) ei] .",839,841
"D8A3BEE80A30","NCCU-TM025-CN-FM_Ryan",136,"M:","56","132","[不過 你們 還 在 那 邊] ,",842,848
"65015A36D071","NCCU-TM025-CN-FM_Ryan",137,"M:","56","133","(...) [2你們 還 在 那 邊 東吵西吵 這 是 非常 有 可能2] .",849,861
"13D367078D692","NCCU-TM025-CN-FM_Ryan",138,"F:","57","134","[2@@@=2]",862,862
"5FED1291DE31","NCCU-TM025-CN-FM_Ryan",139,"F:","57","135","(...) 然後 我 還 夢 到 我 媽 跟 我 說 ,",863,874
"280DA61DC7B07","NCCU-TM025-CN-FM_Ryan",140,"F:","57","135","ei 不 知道 我 去 洗 個 頭 來得及 嗎 .",875,885
"2D312620FA948","NCCU-TM025-CN-FM_Ryan",141,"M:","58","136","(...) @@",886,887
"1A79180FDF390","NCCU-TM025-CN-FM_Ryan",142,"F:","59","137","(.) 然後 我 還 跟 她 說 ,",888,895
"63C9149DDEBE","NCCU-TM025-CN-FM_Ryan",143,"F:","59","137","十一 點 的 飛機 耶 .",896,901
"20EEE74F4EDC2","NCCU-TM025-CN-FM_Ryan",144,"F:","59","138","(.) 現在 要 出門 了 .",902,907
"23C4D075CFB89","NCCU-TM025-CN-FM_Ryan",145,"M:","60","139","(...) 然後 你 爸 就 爆炸 了 .",908,915
"385DCA5E47F23","NCCU-TM025-CN-FM_Ryan",146,"F:","61","140","(...) 沒有 是 我 爆炸 .",916,921
"21A1C1221B1D5","NCCU-TM025-CN-FM_Ryan",147,"F:","61","141","(.) 後來 ,",922,924
"AFEF7EBCAB8F","NCCU-TM025-CN-FM_Ryan",148,"F:","61","142","(.) 最後 結論 好像 是 ,",925,930
"24BCE81C6EE43","NCCU-TM025-CN-FM_Ryan",149,"F:","61","143","(.) 我 突然 --",931,934
"28F763D00BFAD","NCCU-TM025-CN-FM_Ryan",150,"F:","61","144","(.) 我 就 知道 我 在 作夢 .",935,942
"34DF2CE8C69FC","NCCU-TM025-CN-FM_Ryan",151,"F:","61","145","(.) 然後 可是 ,",943,946
"261D7941FE89B","NCCU-TM025-CN-FM_Ryan",152,"F:","61","146","(...) 夢裡 的 那 一 瞬間 就 覺得 ,",947,955
"379B41A76DFCD","NCCU-TM025-CN-FM_Ryan",153,"F:","61","147","(.) 天啊 .",956,958
"32EEB5F9DA197","NCCU-TM025-CN-FM_Ryan",154,"F:","61","148","(...) 我 不 想 去 了 .",959,965
"1CEEC1CA599ED","NCCU-TM025-CN-FM_Ryan",155,"F:","61","149","(.) 我 不要 去 算了 .",966,971
"318ABC12BF29","NCCU-TM025-CN-FM_Ryan",156,"F:","61","149","這樣子 .",972,973
"18C68E4826257","NCCU-TM025-CN-FM_Ryan",157,"F:","61","150","(.) 她 還 在 那邊 跟 我 爭說 飛機 是 十二 點 ,",974,986
"26F992D1A9B83","NCCU-TM025-CN-FM_Ryan",158,"F:","61","151","(.) 我 說 是 十一 點 .",987,993
"1DC41BA369060","NCCU-TM025-CN-FM_Ryan",159,"F:","61","152","(.) 然後 就 一直 爭吵不休 .",994,999
"AB9980745D87","NCCU-TM025-CN-FM_Ryan",160,"M:","62","153","(.) @@[@@]",1000,1001
"16BC615804290","NCCU-TM025-CN-FM_Ryan",161,"F:","63","154","[@@@=]",1002,1002
"147E51F28C983","NCCU-TM025-CN-FM_Ryan",162,"F:","63","154","然後 ,",1003,1004
"CDA618FF49A6","NCCU-TM025-CN-FM_Ryan",163,"F:","63","154","我 妹 還 一直 在 那 邊 跟 我 爭 那 個 粉紅色 的 旅行箱 .",1005,1020
"C113063C088","NCCU-TM025-CN-FM_Ryan",164,"F:","63","155","(.) 然後 行李 都 還 沒 收 這樣 .",1021,1029
"3DF6F2F7E95D","NCCU-TM025-CN-FM_Ryan",165,"F:","63","156","(...) 然後 說 這樣 要 去 西班牙 .",1030,1037
"E894855A047A","NCCU-TM025-CN-FM_Ryan",166,"M:","64","157","(...) 有 .",1038,1040
"D8EDA16F7268","NCCU-TM025-CN-FM_Ryan",167,"M:","64","158","(...) 這 非常 有 你們 的 [2風格2] .",1041,1048
"10B1C04E61BB4","NCCU-TM025-CN-FM_Ryan",168,"F:","65","159","[2@2]",1049,1049
"2AD88BA245E05","NCCU-TM025-CN-FM_Ryan",169,"F:","65","160","(.) 然後 帶 小孩 去 這樣子 怎麼 可能 .",1050,1058
"2B71E8DA25715","NCCU-TM025-CN-FM_Ryan",170,"M:","66","161","(...) @",1059,1060
"1A1BFC0009BC","NCCU-TM025-CN-FM_Ryan",171,"F:","67","162","(...) 然後 我 還 夢 到 就是 ,",1061,1068
"D549EE1024DB","NCCU-TM025-CN-FM_Ryan",172,"F:","67","163","(.) Mi寶 的 東西 我 什麼 也 都 還 沒 收 .",1069,1080
"10CE6919F6314","NCCU-TM025-CN-FM_Ryan",173,"F:","67","164","(...) 尿布 也 都 沒帶 ,",1081,1086
"1F6EB431ECF53","NCCU-TM025-CN-FM_Ryan",174,"F:","67","164","什麼 也 都 還 沒 用 ,",1087,1093
"F3F810AD2CCF","NCCU-TM025-CN-FM_Ryan",175,"F:","67","164","那 樣子 .",1094,1096
"30AC9C100E787","NCCU-TM025-CN-FM_Ryan",176,"M:","68","165","(.) uhm [@@] .",1097,1100
"33C854565B2AB","NCCU-TM025-CN-FM_Ryan",177,"F:","69","166","[對 啊] .",1101,1103
"E50A47FF5B1E","NCCU-TM025-CN-FM_Ryan",178,"F:","69","167","(...) 真是 個 怪夢 .",1104,1108
"1C550324D8BA9","NCCU-TM025-CN-FM_Ryan",179,"M:","70","168","(...) @@",1109,1110
"2CD78D182FEE8","NCCU-TM025-CN-FM_Ryan",180,"F:","71","169","(...) 就 那 種 慌慌張張 那樣 .",1111,1117
"37DFAB86A2D9A","NCCU-TM025-CN-FM_Ryan",181,"F:","71","169","@@",1118,1118
"15D6FEFA52318","NCCU-TM025-CN-FM_Ryan",182,"M:","72","170","(...) 你 看 你們 平常 出門 多 會 拖 .",1119,1128
"996EB58FE26E","NCCU-TM025-CN-FM_Ryan",183,"F:","73","171","(...) 也 還好 吧 .",1129,1133
"EF71475994BE","NCCU-TM025-CN-FM_Ryan",184,"F:","73","172","(...) 我 已經 算 家 裡 第 二 名 了 吧 .",1134,1145
"E2A5D7E6B0A2","NCCU-TM025-CN-FM_Ryan",185,"M:","74","173","(...) 喔 .",1146,1148
"19AC7F671852B","NCCU-TM025-CN-FM_Ryan",186,"F:","75","174","(.) 我 爸 之後 換 我 啦 .",1149,1156
"1CFFE9343A1F3","NCCU-TM025-CN-FM_Ryan",187,"M:","76","175","(.) huh",1157,1158
"ABDDAEDA5D3B","NCCU-TM025-CN-FM_Ryan",188,"F:","77","176","(...) 我 之後 換 我 妹 .",1159,1165
"2A4606021B8FA","NCCU-TM025-CN-FM_Ryan",189,"M:","78","177","(...) mhm",1166,1167
"759873D976E4","NCCU-TM025-CN-FM_Ryan",190,"F:","79","178","(...) 最 會 拖 的 大概 就是 媽媽 .",1168,1176
"232216CAE6156","NCCU-TM025-CN-FM_Ryan",191,"M:","80","179","(...) mhm .",1177,1179
"34DF4D2B76630","NCCU-TM025-CN-FM_Ryan",192,"F:","81","180","(...) @@",1180,1181
"48A81383ED73","NCCU-TM025-CN-FM_Ryan",193,"F:","81","181","(...) 你 動作 也 很 慢 啊 .",1182,1189
"EE9143163225","NCCU-TM025-CN-FM_Ryan",194,"F:","81","182","(...) 你 笑 誰 啊 .",1190,1195
"225919CB28267","NCCU-TM025-CN-FM_Ryan",195,"M:","82","183","(.) 我 哪 有 很 慢 .",1196,1202
"24E9870F80788","NCCU-TM025-CN-FM_Ryan",196,"F:","83","184","(.) 那 是 因為 你 不用 化妝 .",1203,1210
"1ABAB62CF5F45","NCCU-TM025-CN-FM_Ryan",197,"F:","83","185","(.) 你 不用 整理 東西 .",1211,1216
"8587F31D3072","NCCU-TM025-CN-FM_Ryan",198,"M:","84","186","(...) 我 動作 很 快 .",1217,1222
"28658891CE5E4","NCCU-TM025-CN-FM_Ryan",199,"F:","85","187","(.) 我 就 想到 那天 .",1223,1228
"1348233C19F5B","NCCU-TM025-CN-FM_Ryan",200,"F:","85","187","小舅媽 講 的 .",1229,1232
"18B6B7AC66400","NCCU-TM025-CN-FM_Ryan",201,"F:","85","188","(...) ei 你 知 不 知道 現在 幾點 了 .",1233,1242
"33A6B3C933170","NCCU-TM025-CN-FM_Ryan",202,"F:","85","189","(.) 你 還 要 洗 衣服 .",1243,1249
"27621D70D1436","NCCU-TM025-CN-FM_Ryan",203,"F:","85","190","(.) 啊 你 還 要 整理 東西 .",1250,1257
"D90C694F1671","NCCU-TM025-CN-FM_Ryan",204,"F:","85","191","(.) 你 知 不 知道 我們 明天 幾點 要 出門 啊 .",1258,1269
"1C7E92FB308C5","NCCU-TM025-CN-FM_Ryan",205,"F:","85","192","(...) 男人 就 只 會 講 這些 屁話 而已 .",1270,1279
"16D08C269BDE2","NCCU-TM025-CN-FM_Ryan",206,"M:","86","193","(...) mhm .",1280,1282
"448046D4021D","NCCU-TM025-CN-FM_Ryan",207,"F:","87","194","(.) 然後 也 不 來 幫忙 .",1283,1289
"1DF1D6C7E516D","NCCU-TM025-CN-FM_Ryan",208,"F:","87","195","(...) 就 像 那 每次 ,",1290,1295
"1D8679F41FBCA","NCCU-TM025-CN-FM_Ryan",209,"F:","87","196","(.) 禮拜六 晚上 的 時候 你 都 在 那 邊 趕 .",1296,1307
"8A6C15F46232","NCCU-TM025-CN-FM_Ryan",210,"F:","87","197","(...) mhm ,",1308,1310
"1B5F1CB6D234","NCCU-TM025-CN-FM_Ryan",211,"F:","87","198","(...) 你 好 了 沒 .",1311,1316
"1D40C26D8865E","NCCU-TM025-CN-FM_Ryan",212,"F:","87","199","(...) 現在 幾點 了 .",1317,1321
"183CF1FA6DB6A","NCCU-TM025-CN-FM_Ryan",213,"F:","87","200","(.) 現在 十 點 了 .",1322,1327
"2F3D9E002FA11","NCCU-TM025-CN-FM_Ryan",214,"F:","87","201","(.) 現在 幾點 了 .",1328,1332
"1A083DEBD8DC7","NCCU-TM025-CN-FM_Ryan",215,"F:","87","202","(.) 你 知道 嗎 .",1333,1337
"2BB57BDB4027E","NCCU-TM025-CN-FM_Ryan",216,"M:","88","203","(...) 唉 .",1338,1340
"305B88CC86DD","NCCU-TM025-CN-FM_Ryan",217,"F:","89","204","(...) 還 敢 趕 我 .",1341,1346
"FF501A22FC8B","NCCU-TM025-CN-FM_Ryan",218,"F:","89","205","(...) 喔 .",1347,1349
"1FFD7E85660E2","NCCU-TM025-CN-FM_Ryan",219,"M:","90","206","(...) mhm .",1350,1352
