"","Turn","Speaker","Utterance","TurnSeq","IUSeq"
"143",84,"M:"," (.) 可以 去 茹絲葵 打工 嗎",84,143
"144",85,"F:"," (.) TSK",85,144
"145",85,"F:"," (.) 恐怕 沒 辦法",85,145
"146",85,"F:"," (.) 你 知道 我 弟 很 嬌小",85,146
"147",85,"F:"," (.) 茹絲葵 盤子 可能 太 重",85,147
"148",86,"M:"," (.) 那 挑 個 好 日本 餐廳",86,148
"149",87,"F:"," (.) 啊 日本 餐廳 還 不 錯",87,149
"150",87,"F:"," (.) 盤子 不 會 太 重",87,150
"151",88,"M:"," (...) 對 啊",88,151
"152",89,"F:"," (...) <L3 袂 歹 喔 ((不壞 喔)) L3>",89,152
"153",89,"F:"," (.) ei 之前 我 跟 我 同學 去 吃 一家 叫",89,153
"154",89,"F:"," (...) 隆",89,154
"155",90,"M:"," (...) 在 哪裡 啊",90,155
"156",91,"F:"," (.) 隆起 的 隆",91,156
"157",92,"M:"," (.) [2恩2]",92,157
"158",93,"F:"," [2在2] 九條通 那裡",93,158
"159",94,"M:"," (...) huh",94,159
"160",95,"F:"," (.) 林森北路 那裡",95,160
"161",95,"F:"," (...) @@",95,161
"162",95,"F:"," (...) 那 邊 很多 都 是 那種 就是",95,162
"163",95,"F:"," (.) 叫 小姐 陪 的 那種 店",95,163
"164",95,"F:"," (.) 然後 還 有 跟 一些 日本 料理",95,164
"165",96,"M:"," (.) 喔 原來 那邊 就 叫 九條通",96,165
"166",97,"F:"," (.) 對",97,166
"167",98,"M:"," (.) 喔",98,167
"168",98,"M:"," (.) 是 是 是",98,168
"169",99,"F:"," (...) 還 滿 好吃 的",99,169
"170",99,"F:"," (...) 日本 料理店",99,170
"171",99,"F:"," (.) 他 是 日本 料理店 不 是 陪 小姐 的 那 種",99,171
"172",100,"M:"," (.) 真的 ho [@@@]",100,172
"173",101,"F:"," [真的 啦]",101,173
"174",102,"M:"," (.) @ 我 很 懷疑",102,174
"175",103,"F:"," (.) 我 去 [2叫 陪 小姐 幹麻 啊 @@2]",103,175
"176",104,"M:"," [2@@@2]",104,176
"177",105,"F:"," (.) 甯翔毫",105,177
"178",106,"M:"," (.) 你 怎麼 知道",106,178
"179",106,"M:"," (...) 妳們",106,179
"180",106,"M:"," (.) 診",106,180
"181",106,"M:"," (.) TSK",106,181
"182",106,"M:"," (.) 診所",106,182
"183",106,"M:"," (...) [3主管 都3] 灌 人家 酒",106,183
"184",107,"F:"," [3怎樣3]",107,184
"185",108,"M:"," (...)",108,185
"186",108,"M:"," (.) 這種 診所",108,186
"187",108,"M:"," (.) 上樑 不 正 下樑 歪 不 是",108,187
"188",109,"F:"," (.) 靠",109,188
"189",110,"M:"," (.) @@@=",110,189
"190",111,"F:"," (...) 今天",111,190
"191",111,"F:"," (.) 好 啦",111,191
"192",111,"F:"," (.) [總而言之 就 是 一 間]",111,192
"193",112,"M:"," [跑 到 那裡 去]",112,193
"194",113,"F:"," (.) 不錯 的 日本 [2料理2]",113,194
"195",114,"M:"," [2跑 到 那裡2] 去 吃",114,195
"196",115,"F:"," (...) 對 啊",115,196
"197",116,"M:"," (.) 很 遠 耶",116,197
"198",117,"F:"," (...) 就 在 中山站 那裡 啊",117,198
"199",118,"M:"," (.) 中山站",118,199
"200",119,"F:"," (...) 哪 會 很 遠 啊",119,200
"201",120,"M:"," (...) um",120,201
"202",121,"F:"," (...) 林森 [北路]",121,202
"203",122,"M:"," [我 知道] 我 知道 啊",122,203
"204",122,"M:"," (...) 我 沒有 看過",122,204
"205",122,"M:"," (...) 就 在 新興百貨 那裡",122,205
"206",123,"F:"," (...) um 我 不 知道 在 哪 個 百貨 附近",123,206
"207",123,"F:"," (.) 反正 就",123,207
"208",124,"M:"," (.) 就 是 有 一 個 很 大 的 公園",124,208
"209",125,"F:"," (...) um 好像 過 了 那 個 公園",125,209
"210",126,"M:"," (.) 對 啊",126,210
"211",127,"F:"," (.) 對 啊",127,211
"212",127,"F:"," (.) [2還 不 錯2]",127,212
"213",128,"M:"," [2過 去2] 就是 新興百貨",128,213
"214",129,"F:"," (.) 是 喔 然後 之前 我 同學 本來",129,214
"215",129,"F:"," (...) 就是",129,215
"216",129,"F:"," (...) 原本 是 要 去 吃 瞞著爹",129,216
"217",129,"F:"," (...) 可是 我 同學 [訂] 不 到 位",129,217
"218",130,"M:"," [喔]",130,218
"219",130,"M:"," (...) 那 間 我 好像 聽過",130,219
"220",131,"F:"," (...) 對 啊",131,220
"221",131,"F:"," (.) 因為 他 才 四 個 位子 而已",131,221
"222",131,"F:"," (...) 瞞著爹 才 四 個 位子 而已",131,222
"223",131,"F:"," (...) 他 只是 [2一 間2]",131,223
"224",132,"M:"," [2是 吃2] 那 個",132,224
"225",132,"M:"," (...) 壽司 啊",132,225
"226",133,"F:"," (...) 就 日本 [3料理店 啊3]",133,226
"227",134,"M:"," [3在 師大3] 那邊 對不對",134,227
"228",135,"F:"," (.) 對 對 對 對 對",135,228
"229",135,"F:"," (...) 他 是 吃 那 個 生yu-",135,229
"230",135,"F:"," (.) 那 個",135,230
"231",135,"F:"," (.) 握壽司 的",135,231
"232",136,"M:"," (.) 那 為什麼 不 去 吃 游壽司",136,232
"233",137,"F:"," (...) 有 去 吃 啊",137,233
"234",137,"F:"," (.) 之前 就 去 吃 [過] 了 啊",137,234
"235",138,"M:"," [喔]",138,235
"236",138,"M:"," (...) 瞞著爹 好像 很 好吃",138,236
"237",139,"F:"," (.) [2游壽2]司 也 不 錯 啦",139,237
"238",140,"M:"," [2 <# 看 起來#> 2]",140,238
"239",141,"M:"," (...) um",141,239
"240",142,"F:"," (...) 對 啊",142,240
"241",143,"M:"," (.) 我 那 天 就 跑去 吃 那 個 <L4 Yu Sushi L4> 斜 對面 的",143,241
"242",144,"F:"," (.) 那 什麼",144,242
"243",145,"M:"," (...) 那 什麼 花知道 的",145,243
"244",146,"F:"," (.) [花知道]",146,244
"245",147,"M:"," [因為",147,245
"246",147,"M:"," (.) 因] 那 個 主廚 是 我",147,246
"247",147,"M:"," (...) 同學 的 室友",147,247
"248",148,"F:"," (...) 是 喔",148,248
"249",149,"M:"," (...) 所以 每次 去 都 有 <L3 special L3>",149,249
"250",150,"F:"," (...) 真的 喔",150,250
"251",150,"F:"," (.) 這麼 爽",150,251
"252",150,"F:"," (...) 那 甚麼 時候 可以 跟 你 一起 去 吃 [2@@@=2]",150,252
"253",151,"M:"," [2@@=2]",151,253
"254",152,"F:"," (.) 快 點",152,254
"255",152,"F:"," (...) 手機 拿來",152,255
"256",152,"F:"," (...) 我 看 一下 我 的 <3 schedule L3>",152,256
"257",153,"M:"," (...) 最好 是 有空 啦",153,257
"258",154,"F:"," (.) 喔",154,258
"259",155,"M:"," (...) 然後 他 每天 都 ###",155,259
"260",156,"F:"," (.) 那 他 開 到 從 幾點 開 到 幾點",156,260
"261",157,"M:"," (...) <# 我 在 想 #>",157,261
"262",157,"M:"," (.) 吃 下",157,262
"263",157,"M:"," (...) 吃",157,263
"264",157,"M:"," (.) 就 吃 中午 跟 晚上",157,264
"265",158,"F:"," (...) 喔",158,265
"266",158,"F:"," (.) 叫 甚麼",158,266
"267",158,"F:"," (.) 花知道 喔",158,267
"268",159,"M:"," (.) um",159,268
"269",160,"F:"," (.) 哪 一 個 花 啊",160,269
"270",160,"F:"," (...) <L3 flower L3> 的 [3花 喔3]",160,270
"271",161,"M:"," [3對 啊3]",161,271
"272",161,"M:"," (...) 知道 啊",161,272
"273",162,"F:"," (...) 哪 一 個 知",162,273
"274",162,"F:"," (...) 這 個 之",162,274
"275",163,"M:"," (...) 就 知道 的 知道 啊",163,275
"276",164,"F:"," (.) 喔 知道",164,276
"277",164,"F:"," (...) 喔",164,277
"278",164,"F:"," (.) 好",164,278
"279",165,"M:"," (.) 就 斜",165,279
"280",165,"M:"," (.) 就 在",165,280
"281",165,"M:"," (.) 那 個",165,281
"282",165,"M:"," (.) 斜",165,282
"283",165,"M:"," (.) 斜 對面 的 巷子 裡",165,283
"284",166,"F:"," (...) 好",166,284
"285",166,"F:"," (...) 去 查 一下",166,285
"286",166,"F:"," (.) 是 吃 甚麼 的",166,286
"287",166,"F:"," (.) 日本 料理 喔",166,287
"288",167,"F:"," (.) 要不然 le",167,288
"289",168,"M:"," (...) 就",168,289
"290",168,"M:"," (.) [西餐]",168,290
"291",169,"F:"," [複合 式]",169,291
"292",170,"M:"," (...) [2西餐2]",170,292
"293",171,"F:"," [2喔2]",171,293
"294",172,"M:"," (.) 西餐 還有 那些",172,294
"295",173,"F:"," (...) 好",173,295
"296",173,"F:"," (.) 好",173,296
"297",173,"F:"," (...) 去 查 一下",173,297
"298",174,"M:"," (...) TSK",174,298
"299",175,"F:"," (...) 怎樣 啦",175,299
"300",176,"M:"," (.) 沒有",176,300
"301",177,"F:"," (...) 好 想 吃 日本 料理 喔",177,301
"302",178,"M:"," (...) 日本 料理",178,302
"303",178,"M:"," (...) 去 吃 那間",178,303
"304",178,"M:"," (...) 握",178,304
"305",178,"M:"," (.) 那 個 握壽司 吃 到 飽 啊",178,305
"306",178,"M:"," (...) 在 那 個",178,306
"307",179,"F:"," (...) 我 覺得",179,307
"308",179,"F:"," (.) 好 吃 嗎",179,308
"309",180,"M:"," (...) 還 可以",180,309
"310",180,"M:"," (.) 可是 聽說 三燔 好像 更 好吃",180,310
"311",181,"F:"," (...) 哪",181,311
"312",181,"F:"," (.) 哪裡",181,312
"313",182,"M:"," (...) 就 在 一零一 裡面 啊",182,313
"314",183,"F:"," (...) 喔",183,314
"315",184,"M:"," (...) 一 個 人 好像",184,315
"316",184,"M:"," (...) 六百八 吧",184,316
"317",185,"F:"," (...) 喔",185,317
"318",185,"F:"," (...) 還好",185,318
"319",186,"M:"," (...) 對 啊",186,319
"320",187,"F:"," (.) um",187,320
"321",188,"M:"," (.) um",188,321
"322",188,"M:"," (.) 握壽司 吃 到 飽",188,322
"323",188,"M:"," (.) 差 不多 那 個 價錢",188,323
"324",189,"F:"," (...) 六百八 還 好",189,324
"325",190,"M:"," (...) #####",190,325
"326",191,"F:"," (...) 我 上次 跟 我 同學 去 吃 那間 隆",191,326
"327",191,"F:"," (...) 我們 兩 個 人 就 吃 了 兩千五",191,327
"328",191,"F:"," (...) 而且 還是 宵夜 喔",191,328
"329",192,"M:"," (.) @",192,329
"330",193,"F:"," (.) @@",193,330
"331",193,"F:"," (.) @@",193,331
"332",194,"M:"," (.) @",194,332
"333",194,"M:"," (.) 吃 瞞著爹 還 比較 省錢",194,333
"334",195,"F:"," (.) ha",195,334
"335",196,"M:"," (.) 瞞著爹 才",196,335
"336",197,"F:"," (.) 對",197,336
"337",197,"F:"," (.) 瞞著爹 大概 七八[百]",197,337
"338",198,"M:"," [七]八百",198,338
"339",199,"F:"," (.) 一 個 人 七百 多 而已",199,339
"340",199,"F:"," (.) 對",199,340
"341",200,"M:"," (.) 還 不如 去 吃 竹壽司",200,341
"342",201,"F:"," (...) 好 熟",201,342
"343",201,"F:"," (.) 好 熟悉 的 名字 喔",201,343
"344",202,"M:"," (...) 在 景美 那邊 啊",202,344
"345",203,"F:"," (...) 竹壽司",203,345
"346",203,"F:"," (...) 景美 有 點 麻煩",203,346
"347",203,"F:"," (...) 還是 去 瞞著爹 好 了",203,347
"348",204,"M:"," (...) 對 啊",204,348
"349",204,"M:"," (.) [2和平東路 一直2] 走 就 到 了",204,349
"350",205,"F:"," [2比較 方便2]",205,350
"351",206,"M:"," (.) 對 啊",206,351
"352",207,"M:"," (...) 我 也 還 沒 去 過 耶",207,352
"353",207,"M:"," (.) 是不是 在 那 個",207,353
"354",207,"M:"," (...) 小 巷子 裡面 啊",207,354
"355",208,"F:"," (.) 我 不 知道",208,355
"356",208,"F:"," (...) 我 只有 看 那 個",208,356
"357",208,"F:"," (...) 就是",208,357
"358",208,"F:"," (.) 大家 的 blog 上面 寫 的",208,358
"359",209,"M:"," (...) 之前 看 到 的",209,359
"360",210,"F:"," (.) um",210,360
"361",211,"M:"," (.) 這 家 看起來 很 好吃",211,361
"362",212,"F:"," (.) um",212,362
"363",212,"F:"," (.) 沒錯",212,363
"364",212,"F:"," (...) 有 空 可以 訂位 一下",212,364
"365",212,"F:"," (...) 可是 他 好像 很 難 訂 耶",212,365
"366",213,"M:"," (...) 沒有",213,366
"367",213,"M:"," (.) 你 很 難 有 空",213,367
"368",214,"F:"," (...) 沒有",214,368
"369",214,"F:"," (.) 我 覺得 是 比較 難 訂",214,369
"370",214,"F:"," (...) 因為 他 那邊 才 四 個 位子 你 要 怎麼 訂 啊",214,370
"371",215,"M:"," (.) 台北",215,371
"372",216,"F:"," (...) 怎[樣]",216,372
"373",217,"M:"," [還]好 吧",217,373
"374",217,"M:"," (.) 四 個 人",217,374
"375",217,"M:"," (...) 宋廚 都 訂 得 到 了",217,375
"376",218,"F:"," (...) 喔",218,376
"377",219,"M:"," (...) 宋廚 也 差不多 是",219,377
"378",219,"M:"," (.) 不 知道 是 四 個 人 還 八 個 人",219,378
"379",220,"F:"," (...) 是 喔",220,379
"380",221,"M:"," (...) 對 啊",221,380
"381",221,"M:"," (.) 然後 聽說 要 兩 個 月 前",221,381
"382",222,"F:"," (.) 喔",222,382
"383",222,"F:"," (...) 你 不 覺得 兩 個 月 前 很 麻煩 嗎",222,383
"384",222,"F:"," (...) 因為 有 太 多",222,384
"385",222,"F:"," (.) 就是 不 可 預期 的 事情",222,385
"386",223,"M:"," (.) 不會 啊",223,386
"387",223,"M:"," (.) 因為 每天 都 很 忙",223,387
"388",223,"M:"," (.) 所以 不 會 有 太 多 [2@@=2]",223,388
"389",224,"F:"," [2@@@=2]",224,389
"390",224,"F:"," (.) 就是 一 天 只",224,390
"391",224,"F:"," (.) 就是 已 經 被 塞到 百分之 八十 了",224,391
"392",225,"M:"," (.) 對 對 對",225,392
"393",225,"M:"," (.) 所以 是 可以 預期 沒 那麼 忙",225,393
"394",225,"M:"," (.) 不 會 有",225,394
"395",225,"M:"," (.) 可以 預",225,395
"396",225,"M:"," (.) 預期",225,396
"397",225,"M:"," (.) 不 可 預期 的 事情 出現 這樣",225,397
"398",226,"F:"," (...) 喔 @@",226,398
"399",227,"M:"," (...) 對",227,399
"400",228,"F:"," (.) 好 啊",228,400
"401",229,"M:"," (...) 然後 還要",229,401
"402",229,"M:"," (.) 又 要 應付 那種",229,402
"403",229,"M:"," (.) 老闆",229,403
"404",229,"M:"," (...) 突然 出現 在 實驗室 說",229,404
"405",229,"M:"," (...) ei",229,405
"406",229,"M:"," (.) ##",229,406
"407",229,"M:"," (.) 你 怎麼 在",229,407
"408",229,"M:"," (...) 實驗室",229,408
"409",229,"M:"," (.) 去 我 辦公室 談 一下 這樣",229,409
"410",230,"F:"," (...) @@@=",230,410
"411",231,"M:"," (...) 真的 很 <L3 bei lan ((爛)) L3>",231,411
"412",232,"F:"," (...) 不錯 啊",232,412
"413",232,"F:"," (.) 代表 老闆 喜歡 你 啊",232,413
"414",233,"M:"," (...) 那 是 因為 我們 實驗室 新 來 一 個",233,414
"415",233,"M:"," (.) 泰國人",233,415
"416",234,"F:"," (...) ha",234,416
"417",235,"M:"," (.) 我們 實驗室 新 來 一 個",235,417
"418",235,"M:"," (...) 就是 <L2 po - L2>",235,418
"419",235,"M:"," (...) [那 個 <L3 post doc] L3>",235,419
"420",236,"F:"," [我 以為 是 你 耶] @@=",236,420
"421",237,"M:"," (.) 就是 泰國人",237,421
"422",237,"M:"," (.) [2我 到 現在 還 不 會2] 唸 他 的 名字",237,422
"423",238,"F:"," [2@@@=2]",238,423
"424",239,"M:"," (.) [妳 知道 嗎]",239,424
"425",240,"F:"," [@@@]",240,425
"426",240,"F:"," (.) 我 以為 是 你 老闆 覺得 你 是",240,426
"427",240,"F:"," (...) 實驗室 新 來 的 泰國人",240,427
"428",240,"F:"," (...) 有 像 好不好 @@=",240,428
"429",241,"M:"," (.) @@=",241,429
"430",241,"M:"," (.) 是 像 在 哪 啊",241,430
"431",242,"F:"," (.) eh 我 今天",242,431
"432",242,"F:"," (.) 就是",242,432
"433",242,"F:"," (.) 我 最近 在 看 一 個 日劇",242,433
"434",242,"F:"," (.) 然後 他 就是",242,434
"435",242,"F:"," (.) 那 個",242,435
"436",242,"F:"," (...) 演 泰",242,436
"437",242,"F:"," (.) 日 混血兒",242,437
"438",242,"F:"," (.) 然後 在 日本",242,438
"439",242,"F:"," (.) 然後 他 就是",242,439
"440",243,"M:"," (.) 達比修 友 就是 泰日 混血兒 好不好",243,440
"441",244,"F:"," (...) 不 知道 他 是 誰",244,441
"442",244,"F:"," (.) 好像 是 松本 潤 演 的",244,442
"443",245,"M:"," (...) 然後 咧",245,443
"444",246,"F:"," (.) 然後",246,444
"445",246,"F:"," (.) 就 跟 你 現在 的 這 一身 打扮 很 像 啊",246,445
"446",246,"F:"," (...) 就 頭髮 長長",246,446
"447",246,"F:"," (.) 皮膚 黑黑 的",246,447
"448",247,"M:"," (.) 我 哪 有 皮膚 黑黑 的 啊 @",247,448
"449",248,"F:"," (...) @@ 你 沒有 嗎",248,449
"450",249,"M:"," (...) 拜託",249,450
"451",249,"M:"," (.) 那 妳 沒有 看過 皮膚 黑黑 的 好不好",249,451
"452",249,"M:"," (.) 我們",249,452
"453",249,"M:"," (.) 那 個 隔壁 實驗室 那 個 衣索比亞人",249,453
"454",249,"M:"," (.) 超 黑",249,454
"455",250,"F:"," (.) 衣索比亞人 [@=]",250,455
"456",251,"M:"," [@=]",251,456
"457",252,"F:"," (.) 你 要 跟 衣索比亞人 比 [2幹嘛 @=2]",252,457
"458",253,"M:"," [2@2] 他 今天 來",253,458
"459",253,"M:"," (.) 他 就",253,459
"460",253,"M:"," (.) [ei]",253,460
"461",254,"F:"," [他] 是 衣索比亞人 ei",254,461
"462",254,"F:"," (.) 他 是 黑人 ei",254,462
"463",254,"F:"," (.) [2你 是2] 黃種人 ei",254,463
"464",255,"M:"," [2然後 重2]",255,464
"465",256,"M:"," (.) 就",256,465
"466",256,"M:"," (.) 就是 他 在 說",256,466
"467",256,"M:"," (.) 他 自我",256,467
"468",256,"M:"," (.) 他 在 自我 介紹 說",256,468
"469",256,"M:"," (.) 他 是 衣索比亞人 的 時候 我們 同學 在 底下 問 說",256,469
"470",256,"M:"," (.) 所以 他 會",256,470
"471",256,"M:"," (.) 他 平常 常常 肚子 餓 嗎",256,471
"472",256,"M:"," (.) [@=]",256,472
"473",257,"F:"," [@=]",257,473
"474",257,"F:"," (.) @@@",257,474
"475",258,"M:"," (.) 喔 最 靠",258,475
"476",258,"M:"," (.) 我 覺得 那 個",258,476
"477",258,"M:"," (...) 新來 的 那 個 泰國人",258,477
"478",258,"M:"," (.) 真的",258,478
"479",258,"M:"," (...) TSK",258,479
"480",259,"F:"," (.) 怎樣",259,480
"481",260,"M:"," (.) 不 知道 說 麼",260,481
"482",260,"M:"," (.) 就 他",260,482
"483",260,"M:"," (.) 第一 天 來 啊",260,483
"484",260,"M:"," (...) 然後",260,484
"485",260,"M:"," (...) 那 個 什麼",260,485
"486",260,"M:"," (.) 學姐 就 叫 我",260,486
"487",260,"M:"," (.) 就是",260,487
"488",260,"M:"," (.) 學姐 本來 在 跟 他 介紹 實驗室",260,488
"489",261,"F:"," (.) um",261,489
"490",262,"M:"," (...) 然後 學姐 講 一 講 講 一 講",262,490
"491",262,"M:"," (...) 然後 就",262,491
"492",262,"M:"," (.) 我 就",262,492
"493",262,"M:"," (.) 我 就 到 實驗室",262,493
"494",262,"M:"," (.) 然後 她 就 說",262,494
"495",262,"M:"," (.) 喔 喔 喔",262,495
"496",262,"M:"," (...) 你",262,496
"497",262,"M:"," (.) 你 英文 比較 好",262,497
