"","TurnSeq","Speaker","Utterance","IUSeq"
"135",63,"F:","(.) 我 就 說 可能 是 .",135
"136",63,"F:","(.) 他 說 或許 他 應該 要 --",136
"137",63,"F:","(.) 我 應該 要 建議 --",137
"138",63,"F:","(.) 琴 就是 ,",138
"139",63,"F:","(.) 可以 用 以柔制剛 .",139
"140",63,"F:","(.) 因為 ,",140
"141",63,"F:","琴 會 ,",141
"142",63,"F:","(.) 像 我 一樣 ,",142
"143",64,"M:","(.) 對 .",143
"144",65,"F:","(.) 得理不饒人 .",144
"145",66,"M:","(.) 對 .",145
"146",66,"M:","(.) [很 硬] .",146
"147",67,"F:","[如果] ,",147
"148",67,"F:","(.) 你 ,",148
"149",67,"F:","(...) 你 就是 有理 的 時候 ,",149
"150",67,"F:","(.) 你 要 ,",150
"151",67,"F:","(.) 你 要 ,",151
"152",67,"F:","(.) 你 要 我 ,",152
"153",67,"F:","(.) [2軟2] 下來 ,",153
"154",68,"M:","[2軟2] --",154
"155",68,"M:","(...) [不 可能] .",155
"156",69,"F:","[就是] ,",156
"157",69,"F:","(.) 當下 就 不行 .",157
"158",69,"F:","(.) 可是 我 覺得 這樣 就是 佔 弱勢 了 .",158
"159",69,"F:","(.) 以後 應該 得理 可是 ,",159
"160",70,"M:","(.) [2可以 饒人2] .",160
"161",71,"F:","[2又 要 用2] ,",161
"162",71,"F:","(.) 不是 .",162
"163",71,"F:","(.) 又 要 用 軟 的 攻勢 讓 你 一點 輒 都 ,",163
"164",71,"F:","(.) 你 就 有 (.) 辦 --",164
"165",71,"F:","(.) 有 可能 會 被 我 說服 .",165
"166",72,"M:","(.) 嗯 .",166
"167",72,"M:","(.) 對 .",167
"168",72,"M:","(...) 很 機車 的 想法 .",168
"169",72,"M:","(.) @@@[=]",169
"170",73,"F:","[誰 ,",170
"171",73,"F:","(.) 我 嗎 .",171
"172",73,"F:","沒有 啊] 可是 你 自己 想想 看 ,",172
"173",73,"F:","(.) 你 也 希望 人家 跟 你 講 事情 的 時候 是 ,",173
"174",73,"F:","(.) 不是 太 ,",174
"175",73,"F:","(.) 太 ,",175
"176",73,"F:","(.) [2硬 的2] .",176
"177",74,"M:","[2情緒 太 高漲 的2] .",177
"178",75,"F:","(.) 不是 情緒 .",178
"179",75,"F:","(.) 就是 太 硬 .",179
"180",75,"F:","(.) 我 知道 你 對 .",180
"181",75,"F:","(.) 但是 如果 你 那麼 的 硬 ,",181
"182",75,"F:","那麼 的 強勢 的 時候 ,",182
"183",75,"F:","(.) 我 就是 不爽 [接受] .",183
"184",76,"M:","[不爽] .",184
"185",77,"M:","(.) 嗯 .",185
"186",78,"F:","(.) 不 曉得 不爽 這 兩個 字 (.) S 有沒有 辦法 打 出來 .",186
"187",79,"M:","(.) @@@ 不爽 應該 可以 吧 .",187
"188",80,"F:","(.) 對 啊 (.) 然後 ,",188
"189",80,"F:","(.) [可是] ,",189
"190",81,"M:","[不爽] .",190
"191",81,"M:","不爽 .",191
"192",81,"M:","不爽 .",192
"193",82,"F:","(.) 可是 @@@=@ --",193
"194",83,"M:","(.) @@@= 這個 有沒有 在 repeat 的 感覺 .",194
"195",84,"F:","(.) 有 .",195
"196",84,"F:","(...) 可是 ,",196
"197",85,"M:","(.) 而且 頭 還 回 喔 .",197
"198",86,"F:","(.) 對 啊 .",198
"199",86,"F:","(.) 然後 可是 ,",199
"200",86,"F:","(.) 如果 說 我 有理 .",200
"201",86,"F:","(.) 可是 我 又 用 很 低 姿態",201
"202",86,"F:","或 比較 柔 的 方式 去 講 .",202
"203",86,"F:","(.) 請問 你 要 怎麼 回絕 我 .",203
"204",87,"M:","(.) 就 沒 辦法 .",204
"205",88,"F:","(.) 對 啊 .",205
"206",89,"M:","(.) 就是 很 高招 的 一 招 .",206
"207",90,"F:","(.) 也 不是 高招 .",207
"208",90,"F:","(.) 只是 ,",208
"209",90,"F:","人 都 喜歡 ,",209
"210",90,"F:","(...) 人家 不要 講 比較 ,",210
"211",90,"F:","(.) 硬 [或] 難聽 的 話 啊 .",211
"212",91,"M:","[硬] .",212
"213",92,"M:","(.) 嗯 .",213
"214",92,"M:","(.) 對 啊 .",214
"215",92,"M:","(.) 我 喜歡 聽 好話 .",215
"216",93,"F:","(.) 嗯 .",216
"217",93,"F:","(.) 朱 你 去 倒 一杯 水 .",217
"218",93,"F:","(.) 講 那麼 久 .",218
"219",93,"F:","(.) 口[2渴 了2] .",219
"220",94,"M:","[2@@@=2] 可以 離開 鏡頭 嗎 .",220
"221",95,"F:","(.) 再 回來 啊 .",221
"222",96,"M:","(.) @@[@@@=]",222
"223",97,"F:","[@@@=]",223
"224",98,"F:","(.) 你 沒有 打 --",224
"225",98,"F:","(.) [2你 沒有 打開 蓋子2] 請問 水 怎麼 跑 下來 .",225
"226",99,"M:","[2@@@=2]",226
"227",100,"M:","(.) 這個 --",227
"228",100,"M:","(...) 請 把 它 剪掉 .",228
"229",100,"M:","(...) 如果 我 喝 一 口 餵 你 ## ,",229
"230",100,"M:","(.) 可能 沒 辦法 接受 .",230
"231",101,"F:","(.) 嗯 .",231
"232",102,"M:","(.) 呵 .",232
"233",103,"M:","(...) 夠 嗎 .",233
"234",104,"F:","(.) 嗯 .",234
"235",105,"M:","(...) ha .",235
"236",106,"F:","(.) 我 覺得 我們 好 有 義氣 喔 .",236
"237",107,"M:","(.) 甚麼 意思 .",237
"238",108,"F:","(.) 我們 在 錄影 [@@@] .",238
"239",109,"M:","[@@@=]",239
"240",110,"M:","(.) 可是 剛剛 講到 我 ,",240
"241",110,"M:","(.) 沒有 想到 錄影 這 件 事 .",241
"242",111,"F:","(.) 甚麼 東西 .",242
"243",112,"M:","(.) 剛剛 有些 談話 沒有 想到 .",243
"244",112,"M:","(.) 錄影 (.) 這 件 事 .",244
"245",113,"F:","(.) 因為 其實 ,",245
"246",113,"F:","就 很 (.) 自 ,",246
"247",113,"F:","(.) [2自2]然 的 在 談話 .",247
"248",114,"M:","[2嗯2] .",248
"249",115,"M:","(.) 嗯 .",249
"250",116,"F:","(.) 你 剛剛 說 新竹 怎樣 .",250
"251",117,"M:","(.) 如果 我 去 新竹 就 剩 你 一 個 人 在 這邊 .",251
"252",118,"F:","(.) 如果 你們 大家 都 去 了 ,",252
"253",118,"F:","[然後] ,",253
"254",118,"F:","琴 去 當 主任 ,",254
"255",119,"M:","[對 啊] .",255
"256",120,"F:","(.) 你 跟 E 去 當 副店 ,",256
"257",120,"F:","(.) [2然後 我2] 弟 也 走 了 .",257
"258",121,"M:","[2對 啊2] .",258
"259",122,"M:","(.) 對 啊 .",259
"260",123,"F:","(.) 你們 好 耶 .",260
"261",123,"F:","(...) @@@",261
"262",124,"M:","(.) 這樣 你 的 ,",262
"263",124,"M:","(.) 你 的 ,",263
"264",124,"M:","(.) 那 個 想法 就 實現 拉 .",264
"265",124,"M:","(.) 大家 都 走 了 .",265
"266",124,"M:","(.) 剩 我 一 個 人 .",266
"267",124,"M:","(.) 留在 這邊 .",267
"268",125,"F:","(.) 我 的 想法 .",268
"269",125,"F:","(.) 我 的 恐懼 吧 .",269
"270",125,"F:","(.) 我 的 [想法] .",270
"271",126,"M:","[你 的 恐] --",271
"272",127,"M:","(.) 想法 ,",272
"273",127,"M:","(.) 恐懼 啊 .",273
"274",128,"F:","(.) 那 那 時候 你 要 答應 我 .",274
"275",129,"M:","(...) what .",275
"276",130,"F:","(.) 我 不是 有 跟 你 講過 .",276
"277",131,"M:","(.) 嗯 .",277
"278",131,"M:","(.) 喔 .",278
"279",131,"M:","(.) 安全感 .",279
"280",132,"F:","(.) 是 甚麼 .",280
"281",133,"M:","(.) 嗯 .",281
"282",134,"F:","(...) 你 還是 要 買 房子 [啊] .",282
"283",135,"M:","[嗯] .",283
"284",136,"M:","(.) 是 啊 .",284
"285",136,"M:","(.) eh ,",285
"286",136,"M:","[2我 本來 想 說2] ,",286
"287",137,"F:","[2不能 因為2] ,",287
"288",136,"M:","(.) eh ,",288
"289",136,"M:","(.) 禮拜 ,",289
"290",136,"M:","(.) 五 (.) 我們 去 ,",290
"291",136,"M:","(.) 可以 去 新店 看 說 ,",291
"292",138,"F:","(.) 好 啊 ,",292
"293",138,"F:","(.) 我們 先 ,",293
"294",138,"F:","(.) 這 兩 ,",294
"295",138,"F:","(.) eh 那 明天 就要 找 了 .",295
"296",138,"F:","(.) 明天 不 曉得 有沒有 空 找 .",296
"297",138,"F:","(.) 因為 [你 要 看 之前] 你 還要 預約 啊 .",297
"298",139,"M:","[嗯 對喔] .",298
"299",140,"M:","(.) 明天 ,",299
"300",140,"M:","(.) 不然 ,",300
"301",140,"M:","(.) 我 ,",301
"302",140,"M:","(.) 我 找 ,",302
"303",141,"F:","(.) 除非 ,",303
"304",141,"F:","(.) 你 如果 不 怕 仲介 的 話 啊 ,",304
"305",142,"M:","(.) 嗯 .",305
"306",143,"F:","(.) 我們 就是 去 新店 那 附近 的 .",306
"307",144,"M:","(.) 找 仲介 .",307
"308",145,"F:","(.) 的 房 ,",308
"309",145,"F:","(.) 不 動產 的 .",309
"310",145,"F:","(.) 那 個 [2公司2] .",310
"311",146,"M:","[2對2] .",311
"312",147,"F:","(.) 有沒有 ,",312
"313",147,"F:","(.) 直接 去 問 他 有 甚麼 物件 .",313
"314",148,"M:","(.) 嗯 .",314
"315",149,"F:",". .然後 請 他 帶 我們 看 .",315
"316",150,"M:","(.) eh ?",316
"317",151,"F:","(.) 然後 ,",317
"318",151,"F:","(.) 如果 那樣 就 可以 .",318
"319",151,"F:","(.) 可是 如果 說 ,",319
"320",151,"F:","(.) 而且 那樣 ,",320
"321",151,"F:","(.) 他 可以 先 幫 你 挑選 .",321
"322",151,"F:","(.) 他 [可能] 有 你 的 預算 ,",322
"323",152,"M:","[嗯嗯] .",323
"324",153,"F:","(.) 有 你 [2的2] ,",324
"325",154,"M:","[2嗯2] .",325
"326",155,"F:","(.) 想 要 找 的 ,",326
"327",155,"F:","(.) 譬如 說 五 年 內 的 房子 ,",327
"328",155,"F:","(.) 等等 [大小] ,",328
"329",156,"M:","[嗯]",329
"330",157,"F:","(.) 喔 ,",330
"331",157,"F:","(.) 甚麼 的 .",331
"332",157,"F:","那 ,",332
"333",157,"F:","(.) 可是 ,",333
"334",157,"F:","(.) 你 只要 一 找 到 他 之後 會 一直 不 斷 的 call 你 .",334
"335",157,"F:","(.) 當 他 有 物件 的 時候 .",335
"336",157,"F:","(.) 如果 你 不 怕 煩 .",336
"337",157,"F:","(.) [2可是2] ,",337
"338",158,"M:","[2嗯2] .",338
"339",159,"F:","(.) 其實 你 換個 角度 ,",339
"340",159,"F:","(.) 如果 你 真的 要 買 .",340
"341",160,"M:","(.) 對 [啊] .",341
"342",161,"F:","[他] call 你 [2也 OK 啊2] .",342
"343",162,"M:","[2你 不用 怕 煩 啊2] .",343
"344",163,"M:","(.) 對 啊 .",344
"345",163,"M:","(.) [不 怕 煩] .",345
"346",164,"F:","[對 啊] .",346
"347",165,"F:","(.) 因為 你 隨時 會 知道 ,",347
"348",165,"F:","(.) 而且 你 的 時間 又 很 好 .",348
"349",166,"M:","(.) 嗯 .",349
"350",167,"F:","(.) 因為 你 是 (.) week day .",350
"351",168,"M:","(.) 嗯嗯 .",351
"352",169,"F:","(.) 休假 [比較 多] .",352
"353",170,"M:","[對 啊 對 啊] .",353
"354",171,"F:","(.) 白天 又 可以 看屋 .",354
"355",172,"M:","(.) 嗯 .",355
"356",173,"F:","(.) 有 可能 是 下午 才 上班 .",356
"357",174,"M:","(.) 嗯 .",357
"358",175,"F:","(.) 就 很 不錯 .",358
"359",176,"M:","(.) 嗯 .",359
"360",177,"F:","(.) 那 ,",360
"361",177,"F:","(.) 你 就 有 機會 看到 很多 .",361
"362",178,"M:","(.) 嗯 .",362
"363",179,"F:","(.) 然後 你 可以 去 找 兩 到 三 家 .",363
"364",179,"F:","不 要 太多 .",364
"365",180,"M:","(.) 嗯 .",365
"366",181,"F:","(.) 兩 家 ,",366
"367",181,"F:","(.) 左右 的 仲介 .",367
"368",182,"M:","(.) 嗯 .",368
"369",183,"F:","(.) 然後 去 那 附近 [找 這樣 說不定 有 甚麼] .",369
"370",184,"M:","[看看] .",370
"371",185,"M:","(.) 我們 就 搭 捷運 (.) 過去 看 .",371
"372",185,"M:","(.) 因為 我們 畢竟 也 是 要 找 捷運 附近 的 .",372
"373",185,"M:","(.) 對不對 .",373
"374",186,"F:","(.) 嗯 .",374
"375",186,"F:","(.) 因為 我 想 問 如果 你 ,",375
"376",186,"F:","(.) 都 因為 說 你 連 要 住 哪 都 還 不 確定 ,",376
"377",186,"F:","你 永遠 都 不 可[2能 settle down",377
"378",186,"F:","那 你 就 不 會 買2] .",378
"379",187,"M:","[2嗯 .",379
"380",187,"M:","真的2] .",380
"381",188,"F:","(.) 那 ,",381
"382",188,"F:","(.) 如果 ,",382
"383",188,"F:","(.) 嗯 ?",383
"384",188,"F:","(.) 這 個 對話 ,",384
"385",189,"M:","(.) [@@@=]",385
"386",190,"F:","[如果 ,",386
"387",190,"F:","(.) 如果 (.) 你 是] ,",387
"388",190,"F:","(.) 譬如 說 ,",388
"389",190,"F:","(.) 我們 兩個 有 個 commitment .",389
"390",191,"M:","(.) 嗯 .",390
"391",192,"F:","(.) 然後 ,",391
"392",192,"F:","(.) 我 覺得 我 一定 是 會 在 台北 .",392
"393",193,"M:","(.) 嗯 .",393
"394",194,"F:","(.) 對 .",394
"395",194,"F:","(.) 除非 哪天 你 發達 了 說 ,",395
"396",194,"F:","M 你 不要 做 了 .",396
"397",195,"M:","(.) 嗯 .",397
"398",196,"F:","(.) 那 ,",398
"399",196,"F:","(.) 不然 我 應該 就是 會 在 台北 .",399
"400",196,"F:","因為 我 不像 你們 會 調來調去 啊 .",400
"401",197,"M:","(.) 不是 說 你們 公司 有 可能 會到 哪邊 去 .",401
"402",198,"F:","(.) 請問 網路 公司 要 到 哪邊 去 ,",402
"403",196,"F:","網路 公司 在 哪 都 可以 是 ,",403
"404",198,"F:","(.) 根本 不 可能 有 甚麼 分公司 啊 .",404
"405",199,"M:","(.) 喔 .",405
"406",200,"F:","(.) 可是 我 不 可能 ,",406
"407",200,"F:","(.) 不 太 ,",407
"408",200,"F:","(.) 短期 內 不 可能 換掉 啊 .",408
"409",201,"M:","(.) 嗯 .",409
"410",202,"F:","(.) 因為 ,",410
"411",202,"F:","(...) 工作 一來 不 好找 ,",411
"412",202,"F:","你 又要 考慮 到 pay ,",412
"413",203,"M:","(.) 嗯 .",413
"414",204,"F:","(.) 有沒有 比較 好 .",414
"415",205,"M:","(.) 嗯 .",415
"416",206,"F:","(.) 那 我 一定 會 在 台 (...) 北 啊 .",416
"417",207,"M:","(.) 嗯 .",417
"418",208,"F:","(...) 你 介意 嗎 .",418
"419",208,"F:","(.) 講 得 好像 反過來 我 要 問 你 (.) 你 介意 我 都 在 台北 嗎 .",419
"420",208,"F:","(.) 還是 你 覺得 我 也 要 辭掉 工作 去 新竹 找 .",420
"421",209,"M:","(.) @@ 我 那天 跟 ,",421
"422",209,"M:","(.) E 講 說 ,",422
"423",209,"M:","(.) 其實 如果 我 去 新竹 ,",423
"424",209,"M:","(.) 我 可能 ,",424
"425",209,"M:","(.) 可能 就是 ,",425
"426",209,"M:","叫 (.) M 辭掉 這邊 然後 一起 ,",426
"427",209,"M:","(.) 到 新竹 那邊 去 .",427
"428",210,"F:","(.) 去 那邊 幹嘛 .",428
"429",211,"M:","(.) 就 找 竹科 的 啊 ,",429
"430",211,"M:","或是 甚麼樣 ,",430
"431",211,"M:","(.) 或者 是 ,",431
"432",211,"M:","(.) 或者 是 你 要 幹嘛 都 可以 啊 .",432
"433",212,"F:","(.) 幹嘛 都 可以 .",433
"434",213,"M:","(.) 對 啊 .",434
"435",214,"F:","(.) 你 要 養 我 喔 .",435
"436",215,"M:","(.) eh 可以 .",436
"437",215,"M:","(.) 應該 可以 養 得 起 吧 .",437
"438",216,"F:","(.) 可是 我們 沒有 房子 跟 車子 啊 .",438
"439",217,"M:","(.) 那 可以 買 啊 .",439
"440",218,"F:","(.) 那 ,",440
"441",218,"F:","(.) 也 要 等 ,",441
"442",218,"F:","(.) 你 s- --",442
"443",218,"F:","(.) 你 穩定 了 吧 .",443
"444",219,"M:","(.) 嗯 .",444
"445",220,"F:","(.) 對 啊 ,",445
"446",220,"F:","(.) 因為 如果 你 [沒有] 穩定 然後 我 就 ,",446
"447",221,"M:","[穩定] .",447
"448",220,"F:","(.) 冒冒失失 的 說 ,",448
"449",220,"F:","(.) 喔 好 啊 我 也 不 想要 工作 ,",449
"450",220,"F:","(.) 我 就 去 陪 你 ,",450
"451",222,"M:","(.) 嗯 .",451
"452",223,"F:","(.) 那 ,",452
"453",223,"F:","(.) 之後 ,",453
"454",223,"F:","(...) 沒 了 (.) 我 還 ,",454
"455",223,"F:","(.) 工作 也 沒 了 ,",455
"456",223,"F:","(.) 人 也 沒 了 ,",456
"457",223,"F:","(.) 甚麼 都 沒 了 ,",457
"458",223,"F:","(.) 青春 也 沒 了 .",458
"459",224,"M:","(.) @",459
"460",224,"M:","(.) 講 得 好 大條 喔 .",460
"461",224,"M:","(.) 可是 很 現實 .",461
"462",225,"F:","(.) 可是 我 ,",462
"463",225,"F:","(.) 對 我 來講 真的 是 很 可怕 啊 .",463
"464",226,"M:","(.) 嗯 .",464
"465",227,"F:","(.) 第一 我 ,",465
"466",227,"F:","(.) 目前 我 覺得 我 需要 工作 .",466
"467",227,"F:","(.) 而且 ,",467
"468",227,"F:","(.) 如果 我 一 不 工作 ,",468
"469",227,"F:","(.) 你 的 負擔 就 很 大 啊 .",469
"470",228,"M:","(.) 嗯 .",470
"471",229,"F:","(.) 對不對 .",471
"472",230,"M:","(.) 對 .",472
"473",230,"M:","(.) 想東想西 ,",473
"474",230,"M:","(.) 買東買西 ,",474
"475",230,"M:","(.) 吃東吃西 ,",475
"476",230,"M:","(.) [2那麼 多2] ,",476
"477",231,"F:","[2目前2] 只有 吃東吃西 .",477
"478",232,"M:","(.) 那麼 多 吃吃 的 在 引誘 著 你 @@ .",478
"479",233,"F:","(.) 嗯 .",479
"480",233,"F:","(.) 最近 會 吃 少 一點 .",480
"481",233,"F:","(.) 都 沒有 [##] .",481
"482",234,"M:","[二十四] 二十四 號 之前 吃 少 一點 .",482
"483",235,"F:","(.) 對 啊 .",483
"484",235,"F:","(.) 那麼 肥 .",484
"485",236,"M:","(.) 我 怕 他們 ,",485
"486",236,"M:","(.) 到 ,",486
"487",236,"M:","(.) 高雄 看到 你 會 ,",487
"488",236,"M:","(.) M 你 怎麼 ,",488
"489",236,"M:","(...) @@ .",489
"490",236,"M:","(.) 一 圈 @@@@@ .",490
"491",236,"M:","(.) 繞 一 圈 @@@= .",491
"492",237,"F:","(.) 沒有 啊 我 那 時候 不是 也 很 胖 .",492
"493",237,"F:","前陣子 幸好 我 有 瘦 一點 .",493
"494",238,"M:","(.) 嗯 .",494
"495",239,"F:","(.) [然後 現在 又 胖 了] .",495
"496",240,"M:","[對 啊] --",496
"497",240,"M:","不 會 胖 啊 .",497
"498",241,"F:","(.) 可是 [2現在2] 又 胖 了 .",498
"499",241,"F:","我 褲子 都 好 緊 喔 .",499
"500",242,"M:","[2為甚麼2] .",500
"501",243,"M:","(.) 是 不是 因為 你 這邊 突然 好像 變大 了 的 感覺 .",501
"502",244,"F:","(.) 還有 --",502
"503",244,"F:","(.) 肚子 .",503
"504",244,"F:","(.) [跟 腰] .",504
"505",245,"M:","[肚子] .",505
"506",246,"F:","(.) 嗯 .",506
"507",247,"M:","(.) 真的 嗎 .",507
"508",248,"F:","(.) 嗯 .",508
"509",248,"F:","(.) 因為 辦公 ,",509
"510",248,"F:","(.) 小姐 都 這樣 .",510
"511",249,"M:","(.) 應該 .",511
"512",249,"M:","(.) 都 [坐著] .",512
"513",250,"F:","[然後 今天] ,",513
"514",250,"F:","(.) 今天 ,",514
"515",250,"F:","(.) 醫生 又 惹毛 他 了 他 ,",515
"516",250,"F:","真的 整個 臉 很 臭",516
"517",250,"F:","我 好 怕 喔 ,",517
"518",250,"F:","我 都 不敢 正眼 看 他 ,",518
"519",251,"M:","(.) [2嗯2] .",519
"520",252,"F:","[2然後2] 我 跟 他 拜拜 (.) 他 也 沒 跟 我 拜拜 .",520
"521",252,"F:","(.) 我 都 不 知道 禮拜五 怎麼 去 ,",521
"522",252,"F:","(.) 不然 還 可以 叫 醫生 幫 我 喬一喬 骨盆 ,",522
"523",252,"F:","(.) 讓 它 縮小 一點 .",523
